order_id,ts,symbol,pnl,strategy
PAPER-1,2024-11-15 18:00:00+00:00,EURUSD,0.0,default
PAPER-2,2024-11-18 19:00:00+00:00,EURUSD,-50.72120469999908,default
PAPER-3,2024-11-18 19:00:00+00:00,EURUSD,0.0,default
PAPER-4,2024-11-28 09:00:00+00:00,EURUSD,58.08893912000233,default
PAPER-5,2024-11-28 11:00:00+00:00,EURUSD,0.0,default
PAPER-6,2024-12-02 07:00:00+00:00,EURUSD,-50.72099981999908,default
PAPER-7,2024-12-02 07:00:00+00:00,EURUSD,0.0,default
PAPER-8,2024-12-04 00:00:00+00:00,EURUSD,-2.990994539999917,default
PAPER-9,2024-12-04 01:00:00+00:00,EURUSD,0.0,default
PAPER-10,2024-12-05 13:00:00+00:00,EURUSD,-50.72111243999908,default
PAPER-11,2024-12-05 13:00:00+00:00,EURUSD,0.0,default
PAPER-12,2024-12-05 20:00:00+00:00,EURUSD,-15.031169379997523,default
PAPER-13,2024-12-05 21:00:00+00:00,EURUSD,0.0,default
PAPER-14,2024-12-09 03:00:00+00:00,EURUSD,-50.72107659999908,default
PAPER-15,2024-12-09 03:00:00+00:00,EURUSD,0.0,default
PAPER-16,2024-12-11 07:00:00+00:00,EURUSD,-50.72097109999907,default
PAPER-17,2024-12-11 07:00:00+00:00,EURUSD,0.0,default
PAPER-18,2024-12-11 15:00:00+00:00,EURUSD,2.0390216199992848,default
PAPER-19,2024-12-11 16:00:00+00:00,EURUSD,0.0,default
PAPER-20,2024-12-30 12:00:00+00:00,EURUSD,58.33909907999952,default
PAPER-21,2024-12-30 13:00:00+00:00,EURUSD,0.0,default
PAPER-22,2025-01-01 23:00:00+00:00,EURUSD,-33.02069960000081,default
PAPER-23,2025-01-02 00:00:00+00:00,EURUSD,0.0,default
PAPER-24,2025-01-06 11:00:00+00:00,EURUSD,-50.72080425999908,default
PAPER-25,2025-01-06 11:00:00+00:00,EURUSD,0.0,default
PAPER-26,2025-01-08 02:00:00+00:00,EURUSD,74.1992897800004,default
PAPER-27,2025-01-08 03:00:00+00:00,EURUSD,0.0,default
PAPER-28,2025-01-08 11:00:00+00:00,EURUSD,-50.72059485999908,default
PAPER-29,2025-01-08 11:00:00+00:00,EURUSD,0.0,default
PAPER-30,2025-01-08 15:00:00+00:00,EURUSD,2.079398080000435,default
PAPER-31,2025-01-08 16:00:00+00:00,EURUSD,0.0,default
PAPER-32,2025-01-17 06:00:00+00:00,EURUSD,21.999417260000374,default
PAPER-33,2025-01-17 07:00:00+00:00,EURUSD,0.0,default
