symbol,label,config_name,sharpe,ann_return,ann_vol,max_drawdown,trades,final_equity,sortino,calmar,run_id,summary_path,data_severity,strategy_mode,stress_cost_spread_mult,stress_cost_comm_mult,stress_slippage_mult,stress_price_vol_mult,stress_skip_trade_pct,scenario,scenario_overrides,fast_win,slow_win,atr_sl,atr_tp,atr_window,cooldown,allow_short,long_only_above_slow,short_only_below_slow,slope_lookback,strategy_vote_threshold,spread_pips,slippage_pips,commission_per_million,risk_per_trade_pct
EURUSD,eurusd_baseline,,-0.24200820493167774,-0.0020567217368571145,0.008498562011307656,-0.008250223459325669,1066,99784.95236857855,-0.2479669739525277,-0.24929285212660415,20251110_164715,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251110_164715/summary.json,warn,first_hit,,,,,,,,50.0,200.0,,,,,,,,,,,,,
EURUSD,eurusd_weighted_stress,,-0.633113842503813,-0.006012819648511414,0.009497217158816428,-0.009674170984522829,938,99377.56172969924,-0.6446175065575006,-0.6215333239541653,20251110_164716,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251110_164716/summary.json,warn,weighted,1.1,1.2,1.3,1.2,0.05,,,30.0,120.0,,,,,,,,,0.5,,,,
EURUSD,eurusd_double_costs,,-1.670549796374981,-0.014401926707124701,0.008621069984490283,-0.01609098274686285,1098,98516.5743007358,-1.7124678674525642,-0.8950308961043755,20251110_164717,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251110_164717/summary.json,warn,,2.0,2.0,1.5,1.0,0.05,double_costs,"{'description': 'Double transaction costs and friction.', 'stress_cost_spread_mult': 2.0, 'stress_cost_comm_mult': 2.0, 'stress_slippage_mult': 1.5, 'stress_price_vol_mult': 1.0, 'stress_skip_trade_pct': 0.05, 'return_scale': 0.95}",40.0,160.0,,,,,,,,,,,,,
USDJPY,usdjpy_bollinger,usdjpy_bollinger_only.yaml,-1.1716153510167895,-0.009693538583278705,0.00827365276058063,-0.011687494338970343,876,99195.29462448813,-1.0250997103018873,-0.8293940773050844,20251110_164718,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251110_164718/summary.json,warn,,,,,,,,,,,,,,,,,,,,,,,
