symbol,config,benchmark,sharpe,ann_return,ann_vol,max_drawdown,trades,final_equity
EURUSD,eurusd_regime.yaml,True,-4.091388643054443,-0.018367456360149914,0.004489296413170276,-0.019501268810382288,1582,98112.0030302285
USDJPY,usdjpy_regime.yaml,False,1.8579267280553666,0.0023553482228939604,0.001267729339013939,-0.0005846092203113588,302,100194.57604002372
