symbol,label,config_name,sharpe,ann_return,ann_vol,max_drawdown,trades,final_equity,sortino,calmar,run_id,summary_path,data_severity,strategy_mode,stress_cost_spread_mult,stress_price_vol_mult
EURUSD,eurusd_baseline,,-0.24200820493167774,-0.0020567217368571145,0.008498562011307656,-0.008250223459325669,1066,99784.95236857855,-0.2479669739525277,-0.24929285212660415,20251109_145226,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251109_145226/summary.json,warn,first_hit,,
EURUSD,eurusd_weighted_stress,,-0.5746837232610056,-0.0054395720414266435,0.009465331662014272,-0.009368325196102863,910,99436.48817346002,-0.583723716382026,-0.5806344173118003,20251109_145227,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251109_145227/summary.json,warn,weighted,1.1,1.2
USDJPY,usdjpy_bollinger,usdjpy_bollinger_only.yaml,-1.1716153510167895,-0.009693538583278705,0.00827365276058063,-0.011687494338970343,876,99195.29462448813,-1.0250997103018873,-0.8293940773050844,20251109_145228,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/20251109_145228/summary.json,warn,,,
