ts_entry,side,qty,entry,commission,entry_atr,stop_price,tp_price,ts_exit,reason,exit,pnl
2023-12-14 06:00:00+00:00,SHORT,78666.4169320109,141.556,0.019666604233002725,0.6422857142857116,142.77634285714285,139.1153142857143,,,,
,SHORT,78666.4169320109,141.556,0.019666604233002725,0.6422857142857116,142.77634285714285,139.1153142857143,2023-12-18 10:00:00+00:00,SL,142.78934285714283,-679.5007922872825
2023-12-19 14:00:00+00:00,LONG,93168.27754937785,144.06599999999997,0.02329206938734446,0.5419285714285788,143.03633571428568,146.12532857142858,,,,
,LONG,93168.27754937785,144.06599999999997,0.02329206938734446,0.5419285714285788,143.03633571428568,146.12532857142858,2023-12-19 21:00:00+00:00,Signal,143.83100000000002,-152.24739691535078
2023-12-22 06:00:00+00:00,LONG,249472.47522487165,142.35799999999998,0.06236811880621791,0.20235714285714682,141.9735214285714,143.12695714285712,,,,
,LONG,249472.47522487165,142.35799999999998,0.06236811880621791,0.20235714285714682,141.9735214285714,143.12695714285712,2023-12-22 11:00:00+00:00,SL,141.9605214285714,-698.5661638591105
2023-12-28 06:00:00+00:00,LONG,206201.67690329166,141.13799999999998,0.051550419225822916,0.24464285714285797,140.67317857142854,142.06764285714283,,,,
,LONG,206201.67690329166,141.13799999999998,0.051550419225822916,0.24464285714285797,140.67317857142854,142.06764285714283,2023-12-28 10:00:00+00:00,SL,140.66017857142856,-700.5168905916711
2023-12-29 06:00:00+00:00,LONG,261282.68606769922,141.25699999999998,0.0653206715169248,0.19292857142857095,140.8904357142857,141.99012857142856,,,,
,LONG,261282.68606769922,141.25699999999998,0.0653206715169248,0.19292857142857095,140.8904357142857,141.99012857142856,2023-12-29 13:00:00+00:00,Signal,141.82300000000004,1042.6851522019467
2024-01-12 14:00:00+00:00,LONG,167336.04482721855,144.55499999999998,0.04183401120680463,0.3015714285714231,143.98201428571429,145.7009714285714,,,,
,LONG,167336.04482721855,144.55499999999998,0.04183401120680463,0.3015714285714231,143.98201428571429,145.7009714285714,2024-01-15 06:00:00+00:00,Signal,145.25300000000001,804.0762171781287
2024-01-19 08:00:00+00:00,LONG,231983.34240424153,148.09699999999998,0.057995835601060385,0.21771428571427975,147.68334285714286,148.92431428571425,,,,
,LONG,231983.34240424153,148.09699999999998,0.057995835601060385,0.21771428571427975,147.68334285714286,148.92431428571425,2024-01-19 16:00:00+00:00,Signal,148.19800000000004,158.0434467131605
2024-01-23 06:00:00+00:00,LONG,179401.7346474677,147.14199999999997,0.044850433661866924,0.2815714285714271,146.60701428571426,148.2119714285714,,,,
,LONG,179401.7346474677,147.14199999999997,0.044850433661866924,0.2815714285714271,146.60701428571426,148.2119714285714,2024-01-23 13:00:00+00:00,Signal,148.04000000000002,1088.193177892706
2024-01-29 07:00:00+00:00,LONG,362150.0928310619,147.81699999999998,0.09053752320776548,0.13964285714285804,147.55167857142854,148.34764285714283,,,,
,LONG,362150.0928310619,147.81699999999998,0.09053752320776548,0.13964285714285804,147.55167857142854,148.34764285714283,2024-01-29 10:00:00+00:00,Signal,147.81500000000003,-4.990582753022035
2024-01-31 16:00:00+00:00,SHORT,154754.03005495176,146.25400000000002,0.03868850751373794,0.32678571428571146,146.87489285714287,145.01221428571432,,,,
,SHORT,154754.03005495176,146.25400000000002,0.03868850751373794,0.32678571428571146,146.87489285714287,145.01221428571432,2024-01-31 19:00:00+00:00,SL,146.88789285714284,-667.8777619518149
2024-02-02 06:00:00+00:00,LONG,302095.44771045394,146.49499999999998,0.07552386192761348,0.16728571428571115,146.1771571428571,147.13068571428568,,,,
,LONG,302095.44771045394,146.49499999999998,0.07552386192761348,0.16728571428571115,146.1771571428571,147.13068571428568,2024-02-02 12:00:00+00:00,Signal,146.57100000000003,156.56701815531778
2024-02-02 14:00:00+00:00,LONG,196126.0665354802,147.89299999999997,0.04903151663387005,0.25771428571428395,147.40334285714283,148.87231428571425,,,,
,LONG,196126.0665354802,147.89299999999997,0.04903151663387005,0.25771428571428395,147.40334285714283,148.87231428571425,2024-02-02 21:00:00+00:00,Signal,148.36900000000003,629.16601792698
