ts_entry,side,qty,entry,commission,entry_atr,stop_price,tp_price,ts_exit,reason,exit,pnl
2020-12-07 07:00:00+00:00,LONG,1000000.0,1.27833,0.25,0.0010264285714286028,1.2763797857142856,1.2822304285714285,,,,
,LONG,1000000.0,1.27833,0.25,0.0010264285714286028,1.2763797857142856,1.2822304285714285,2020-12-07 08:00:00+00:00,TP,1.2821304285714286,2963.9012959512984
2020-12-29 11:00:00+00:00,LONG,1000000.0,1.28144,0.25,0.0008871428571428959,1.2797544285714284,1.284811142857143,,,,
,LONG,1000000.0,1.28144,0.25,0.0008871428571428959,1.2797544285714284,1.284811142857143,2020-12-29 13:00:00+00:00,SL,1.2796544285714284,-1395.604393111319
2021-01-22 09:00:00+00:00,LONG,1000000.0,1.26982,0.25,0.0010850000000000026,1.2677585,1.273943,,,,
,LONG,1000000.0,1.26982,0.25,0.0010850000000000026,1.2677585,1.273943,2021-01-22 14:00:00+00:00,Signal,1.26924,-457.21637357790877
2021-03-15 08:00:00+00:00,LONG,1000000.0,1.24475,0.25,0.0013792857142857415,1.242129357142857,1.2499912857142859,,,,
,LONG,1000000.0,1.24475,0.25,0.0013792857142857415,1.242129357142857,1.2499912857142859,2021-03-15 14:00:00+00:00,TP,1.2498912857142859,4113.136318513066
2021-03-15 17:00:00+00:00,LONG,1000000.0,1.24748,0.25,0.0016142857142857586,1.244412857142857,1.2536142857142858,,,,
,LONG,1000000.0,1.24748,0.25,0.0016142857142857586,1.244412857142857,1.2536142857142858,2021-03-15 22:00:00+00:00,Signal,1.24787,312.28255547461873
2021-03-17 09:00:00+00:00,LONG,1000000.0,1.24695,0.25,0.0008014285714285085,1.2454272857142858,1.2499954285714283,,,,
,LONG,1000000.0,1.24695,0.25,0.0008014285714285085,1.2454272857142858,1.2499954285714283,2021-03-17 18:00:00+00:00,SL,1.2453272857142859,-1303.2924245329204
2021-04-13 11:00:00+00:00,LONG,1000000.0,1.26196,0.25,0.0011021428571428768,1.2598659285714284,1.2661481428571428,,,,
,LONG,1000000.0,1.26196,0.25,0.0011021428571428768,1.2598659285714284,1.2661481428571428,2021-04-13 12:00:00+00:00,SL,1.2597659285714284,-1741.900078645644
2021-05-10 16:00:00+00:00,LONG,1000000.0,1.20887,0.25,0.0016114285714285334,1.2058082857142858,1.2149934285714283,,,,
,LONG,1000000.0,1.20887,0.25,0.0016114285714285334,1.2058082857142858,1.2149934285714283,2021-05-10 21:00:00+00:00,Signal,1.2104,1263.7949438202506
2021-06-03 07:00:00+00:00,LONG,1000000.0,1.20679,0.25,0.0008364285714285316,1.205200785714286,1.2099684285714285,,,,
,LONG,1000000.0,1.20679,0.25,0.0008364285714285316,1.205200785714286,1.2099684285714285,2021-06-03 10:00:00+00:00,SL,1.205100785714286,-1401.9703421810768
2021-07-22 08:00:00+00:00,LONG,1000000.0,1.25708,0.25,0.0011385714285714649,1.2549167142857143,1.2614065714285716,,,,
,LONG,1000000.0,1.25708,0.25,0.0011385714285714649,1.2549167142857143,1.2614065714285716,2021-07-22 10:00:00+00:00,SL,1.2548167142857143,-1803.9283288896752
