ts_entry,side,qty,entry,commission,entry_atr,stop_price,tp_price,ts_exit,reason,exit,pnl
2020-12-07 08:00:00+00:00,LONG,87531.73025221779,138.114,3.0223393480137024,0.3006428571428533,137.54277857142858,139.25644285714284,,,,
,LONG,87531.73025221779,138.114,3.038970376761623,0.3006428571428533,137.54277857142858,139.25644285714284,2020-12-07 16:00:00+00:00,Signal,138.874,66521.07602130796
2020-12-14 15:00:00+00:00,LONG,99024.11894861159,138.624,3.431779866283083,0.28342857142857064,138.0854857142857,139.70102857142857,,,,
,LONG,99024.11894861159,138.624,3.4500250601993647,0.28342857142857064,138.0854857142857,139.70102857142857,2020-12-16 06:00:00+00:00,Signal,139.361,72977.32564006603
2020-12-21 09:00:00+00:00,LONG,67515.73219342159,137.154,2.3150131833141363,0.4441428571428584,136.31012857142858,138.84174285714286,,,,
,LONG,67515.73219342159,137.154,2.3251067852770526,0.4441428571428584,136.31012857142858,138.84174285714286,2020-12-21 14:00:00+00:00,Signal,137.752,40372.08274488172
2020-12-22 14:00:00+00:00,LONG,92663.80198271015,138.318,3.2042679406611256,0.33507142857142874,137.6813642857143,139.59127142857145,,,,
,LONG,92663.80198271015,138.318,3.2178431876515927,0.33507142857142874,137.6813642857143,139.59127142857145,2020-12-23 07:00:00+00:00,Signal,138.904,54297.770118679044
2020-12-27 22:00:00+00:00,LONG,115461.9492645488,140.337,4.050895893484746,0.28128571428571547,139.80255714285713,141.40588571428572,,,,
,LONG,115461.9492645488,140.337,4.051155682870592,0.28128571428571547,139.80255714285713,141.40588571428572,2020-12-28 06:00:00+00:00,Signal,140.346,1035.106387699749
2020-12-28 18:00:00+00:00,LONG,117044.50070818007,139.72,4.088364409736729,0.2777142857142861,139.19234285714285,140.77531428571427,,,,
,LONG,117044.50070818007,139.72,4.110661387121638,0.2777142857142861,139.19234285714285,140.77531428571427,2020-12-30 15:00:00+00:00,Signal,140.482,89183.79887824615
2021-01-04 13:00:00+00:00,LONG,137637.4334483177,140.4,4.831073914035951,0.25321428571428684,139.91889285714285,141.3622142857143,,,,
,LONG,137637.4334483177,140.4,4.814106413646479,0.25321428571428684,139.91889285714285,141.3622142857143,2021-01-04 16:00:00+00:00,SL,139.90689285714285,-67874.81566430548
2021-01-04 18:00:00+00:00,LONG,117820.41503454738,139.894,4.120592285210742,0.28064285714286136,139.36077857142857,140.96044285714288,,,,
,LONG,117820.41503454738,139.894,4.133110704308163,0.28064285714286136,139.36077857142857,140.96044285714288,2021-01-06 07:00:00+00:00,Signal,140.319,50069.543278976314
2021-01-11 13:00:00+00:00,LONG,238179.8943084745,140.419,8.36124564472542,0.14435714285713988,140.14472142857144,140.96755714285715,,,,
,LONG,238179.8943084745,140.419,8.393194925619463,0.14435714285713988,140.14472142857144,140.96755714285715,2021-01-12 01:00:00+00:00,TP,140.95555714285715,127788.73038124367
2021-01-18 13:00:00+00:00,LONG,219816.36626456145,140.616,7.727424539664394,0.17171428571428546,140.28974285714287,141.2685142857143,,,,
,LONG,219816.36626456145,140.616,7.762623420370958,0.17171428571428546,140.28974285714287,141.2685142857143,2021-01-19 02:00:00+00:00,TP,141.2565142857143,140787.76020283578
2021-01-20 06:00:00+00:00,LONG,413322.5586650538,141.698,14.641744979430198,0.100285714285712,141.50745714285716,142.07908571428572,,,,
,LONG,413322.5586650538,141.698,14.679882842379023,0.100285714285712,141.50745714285716,142.07908571428572,2021-01-20 09:00:00+00:00,TP,142.06708571428572,152536.77191244913
2021-01-25 11:00:00+00:00,LONG,300660.007610582,142.142,10.684103700445837,0.15121428571428502,141.85469285714285,142.7166142857143,,,,
,LONG,300660.007610582,142.142,10.661606278483502,0.15121428571428502,141.85469285714285,142.7166142857143,2021-01-25 15:00:00+00:00,SL,141.84269285714285,-90000.34945560938
2021-01-25 16:00:00+00:00,LONG,251914.52040886096,141.845,8.93320378684872,0.1710714285714293,141.51996428571428,142.49507142857144,,,,
,LONG,251914.52040886096,141.845,8.911977739267485,0.1710714285714293,141.51996428571428,142.49507142857144,2021-01-26 06:00:00+00:00,SL,141.50796428571428,-84913.102302684
