ts_entry,side,qty,entry,commission,entry_atr,stop_price,tp_price,ts_exit,reason,exit,pnl
2020-12-07 10:00:00+00:00,LONG,253733.50732201812,76.963,4.882022981006119,0.10371428571428558,76.76594285714285,77.35711428571427,,,,
,LONG,253733.50732201812,76.963,4.906325213860984,0.10371428571428558,76.76594285714285,77.35711428571427,2020-12-07 14:00:00+00:00,TP,77.34611428571428,97204.02509424144
2020-12-28 10:00:00+00:00,LONG,232450.4101419049,78.669,4.571660328863379,0.12421428571428603,78.43299285714285,79.14101428571428,,,,
,LONG,232450.4101419049,78.669,4.576890463091572,0.12421428571428603,78.43299285714285,79.14101428571428,2020-12-29 06:00:00+00:00,Signal,78.759,20915.96002230914
2021-01-04 09:00:00+00:00,LONG,165303.15367138368,79.46199999999999,3.283829799258872,0.1779999999999983,79.12379999999999,80.13839999999998,,,,
,LONG,165303.15367138368,79.46199999999999,3.2693988339433604,0.1779999999999983,79.12379999999999,80.13839999999998,2021-01-04 16:00:00+00:00,SL,79.1128,-57727.130660880495
2021-01-25 09:00:00+00:00,LONG,298218.5945599975,80.17099999999999,5.9771207361173895,0.09357142857142671,79.99321428571429,80.52657142857142,,,,
,LONG,298218.5945599975,80.17099999999999,5.963045883520568,0.09357142857142671,79.99321428571429,80.52657142857142,2021-01-25 15:00:00+00:00,SL,79.98221428571429,-56305.37343317026
