ts_entry,side,qty,entry,commission,entry_atr,stop_price,tp_price,ts_exit,reason,exit,pnl
2020-11-27 12:00:00+00:00,LONG,1000000.0,1.1925999999999999,0.2981499999999999,0.0007799999999999395,1.191118,1.1955639999999996,,,,
,LONG,1000000.0,1.1925999999999999,0.29887099999999994,0.0007799999999999395,1.191118,1.1955639999999996,2020-11-27 16:00:00+00:00,TP,1.1954839999999998,2883.701128999887
2020-11-30 08:00:00+00:00,LONG,1000000.0,1.19794,0.299485,0.0008478571428571621,1.1963290714285715,1.2011618571428573,,,,
,LONG,1000000.0,1.19794,0.2990622678571429,0.0008478571428571621,1.1963290714285715,1.2011618571428573,2020-11-30 15:00:00+00:00,SL,1.1962490714285716,-1691.2276336962423
2020-11-30 16:00:00+00:00,LONG,1000000.0,1.19489,0.2987225,0.0015214285714285625,1.1919992857142858,1.2006714285714286,,,,
,LONG,1000000.0,1.19489,0.30014785714285713,0.0015214285714285625,1.1919992857142858,1.2006714285714286,2020-12-01 15:00:00+00:00,TP,1.2005914285714288,5701.128423571603
2020-12-04 15:00:00+00:00,LONG,1000000.0,1.21413,0.3035325,0.0016778571428571912,1.2109420714285712,1.2205058571428573,,,,
,LONG,1000000.0,1.21413,0.30271551785714285,0.0016778571428571912,1.2109420714285712,1.2205058571428573,2020-12-07 08:00:00+00:00,SL,1.2108620714285714,-3268.2312869464035
2020-12-07 08:00:00+00:00,LONG,1000000.0,1.20982,0.302455,0.0012957142857143048,1.2073581428571427,1.2147437142857143,,,,
,LONG,1000000.0,1.20982,0.3036659285714286,0.0012957142857143048,1.2073581428571427,1.2147437142857143,2020-12-07 14:00:00+00:00,TP,1.2146637142857144,4843.410619785935
2020-12-07 17:00:00+00:00,LONG,1000000.0,1.2134399999999999,0.30335999999999996,0.0016928571428571468,1.2102235714285712,1.219872857142857,,,,
,LONG,1000000.0,1.2134399999999999,0.30253589285714283,0.0016928571428571468,1.2102235714285712,1.219872857142857,2020-12-08 08:00:00+00:00,SL,1.2101435714285713,-3296.7311073213905
2020-12-09 15:00:00+00:00,LONG,1000000.0,1.20844,0.30211,0.0015607142857142961,1.2054746428571428,1.2143707142857143,,,,
,LONG,1000000.0,1.20844,0.30197,0.0015607142857142961,1.2054746428571428,1.2143707142857143,2020-12-09 20:00:00+00:00,Signal,1.20788,-560.3019699998939
2020-12-11 09:00:00+00:00,LONG,1000000.0,1.21189,0.3029725,0.0011214285714285907,1.2097592857142856,1.2161514285714285,,,,
,LONG,1000000.0,1.21189,0.3040178571428572,0.0011214285714285907,1.2097592857142856,1.2161514285714285,2020-12-14 12:00:00+00:00,TP,1.2160714285714287,4181.124553571637
2020-12-14 15:00:00+00:00,LONG,1000000.0,1.2126,0.30315,0.0014299999999999949,1.2098829999999998,1.2180339999999998,,,,
,LONG,1000000.0,1.2126,0.30379500000000004,0.0014299999999999949,1.2098829999999998,1.2180339999999998,2020-12-15 15:00:00+00:00,Signal,1.2151800000000001,2579.696205000249
2020-12-20 23:00:00+00:00,LONG,1000000.0,1.22131,0.3053275,0.00162928571428573,1.218214357142857,1.2275012857142857,,,,
,LONG,1000000.0,1.22131,0.3045335892857143,0.00162928571428573,1.218214357142857,1.2275012857142857,2020-12-21 02:00:00+00:00,SL,1.2181343571428571,-3175.9473907320653
2020-12-21 07:00:00+00:00,LONG,1000000.0,1.21772,0.30443,0.0017307142857142838,1.2144316428571427,1.2242967142857142,,,,
,LONG,1000000.0,1.21772,0.3035879107142857,0.0017307142857142838,1.2144316428571427,1.2242967142857142,2020-12-21 10:00:00+00:00,SL,1.2143516428571428,-3368.6607307678178
2020-12-22 16:00:00+00:00,LONG,1000000.0,1.2173399999999999,0.30433499999999997,0.00199428571428571,1.213550857142857,1.2249182857142855,,,,
,LONG,1000000.0,1.2173399999999999,0.304045,0.00199428571428571,1.213550857142857,1.2249182857142855,2020-12-22 21:00:00+00:00,Signal,1.21618,-1160.304044999828
2020-12-28 11:00:00+00:00,LONG,1000000.0,1.2195999999999998,0.30489999999999995,0.001591428571428577,1.2165762857142854,1.2256474285714285,,,,
