ts,equity
2025-07-17 18:00:00+00:00,959733.9644831693
2025-07-17 19:00:00+00:00,959791.6544008245
2025-07-17 20:00:00+00:00,959783.6472564138
2025-07-17 21:00:00+00:00,959803.8797805329
2025-07-17 22:00:00+00:00,959905.6618490218
2025-07-17 23:00:00+00:00,959852.4067628321
2025-07-18 00:00:00+00:00,959793.7618844463
2025-07-18 01:00:00+00:00,959835.0972165592
2025-07-18 02:00:00+00:00,959819.9064701654
2025-07-18 03:00:00+00:00,959758.3749736836
2025-07-18 04:00:00+00:00,959757.5329155701
2025-07-18 05:00:00+00:00,959719.2432237118
2025-07-18 06:00:00+00:00,959727.2339049196
2025-07-18 07:00:00+00:00,959709.9934056643
2025-07-18 08:00:00+00:00,959791.6544008245
2025-07-18 09:00:00+00:00,959740.6965097311
2025-07-18 10:00:00+00:00,959820.3283359039
2025-07-18 11:00:00+00:00,959827.5009227358
2025-07-18 12:00:00+00:00,959888.3228847025
2025-07-18 13:00:00+00:00,959929.3598309695
2025-07-18 14:00:00+00:00,959837.2076250328
2025-07-18 15:00:00+00:00,959805.5664143862
2025-07-18 16:00:00+00:00,959749.1135803347
2025-07-18 17:00:00+00:00,959739.0133672858
2025-07-18 18:00:00+00:00,959715.4588765784
2025-07-18 19:00:00+00:00,959726.3926844496
2025-07-18 20:00:00+00:00,959684.360484578
2025-07-20 22:00:00+00:00,959791.2329211199
2025-07-20 23:00:00+00:00,959847.7617997575
2025-07-21 00:00:00+00:00,959876.0645246116
2025-07-21 01:00:00+00:00,959823.2815551466
2025-07-21 02:00:00+00:00,959827.9228907486
2025-07-21 03:00:00+00:00,959845.6506804503
2025-07-21 04:00:00+00:00,959851.9844650157
2025-07-21 05:00:00+00:00,959913.7002297236
2025-07-21 06:00:00+00:00,960067.2469646682
2025-07-21 07:00:00+00:00,959997.167099936
2025-07-21 08:00:00+00:00,960085.1104430448
2025-07-21 09:00:00+00:00,960075.7521177742
2025-07-21 10:00:00+00:00,960144.3024706417
2025-07-21 11:00:00+00:00,960232.6584563697
2025-07-21 12:00:00+00:00,960256.6041470929
2025-07-21 13:00:00+00:00,960241.2084019196
2025-07-21 14:00:00+00:00,960284.8492081166
2025-07-21 15:00:00+00:00,960352.998088003
2025-07-21 16:00:00+00:00,960398.942179473
2025-07-21 17:00:00+00:00,960359.4348244903
2025-07-21 18:00:00+00:00,960327.6929744751
2025-07-21 19:00:00+00:00,960313.9766426907
2025-07-21 20:00:00+00:00,960319.9768047683
2025-07-21 21:00:00+00:00,960326.8355291772
2025-07-21 22:00:00+00:00,960295.9829950844
2025-07-21 23:00:00+00:00,960295.9829950844
2025-07-22 00:00:00+00:00,960260.0264444792
2025-07-22 01:00:00+00:00,960218.1288671604
2025-07-22 02:00:00+00:00,960268.5838124605
2025-07-22 03:00:00+00:00,960220.6924258382
2025-07-22 04:00:00+00:00,960195.0662155191
2025-07-22 05:00:00+00:00,960138.3356405933
2025-07-22 06:00:00+00:00,960115.7571649855
2025-07-22 07:00:00+00:00,960164.3422439547
2025-07-22 08:00:00+00:00,960204.4600738025
2025-07-22 09:00:00+00:00,960280.9961198355
2025-07-22 10:00:00+00:00,960239.4982273619
2025-07-22 11:00:00+00:00,960383.047415163
2025-07-22 12:00:00+00:00,960491.3476679815
2025-07-22 13:00:00+00:00,960322.5362210931
2025-07-22 14:00:00+00:00,960154.3496435584
2025-07-22 15:00:00+00:00,960098.1876392926
2025-07-22 16:00:00+00:00,960137.4400777313
2025-07-22 17:00:00+00:00,960215.1515510222
2025-07-22 18:00:00+00:00,960206.0650035664
2025-07-22 19:00:00+00:00,960193.4907988281
2025-07-22 20:00:00+00:00,960193.4907988281
2025-07-22 21:00:00+00:00,960183.3699760452
2025-07-22 22:00:00+00:00,960236.112571805
2025-07-22 23:00:00+00:00,960236.112571805
2025-07-23 00:00:00+00:00,960228.324745077
2025-07-23 01:00:00+00:00,960327.982624877
2025-07-23 02:00:00+00:00,960524.8386727952
2025-07-23 03:00:00+00:00,960518.9043535222
2025-07-23 04:00:00+00:00,960520.6628639913
2025-07-23 05:00:00+00:00,960513.0260362512
2025-07-23 06:00:00+00:00,960335.7378603546
2025-07-23 07:00:00+00:00,960178.5868440737
2025-07-23 08:00:00+00:00,960199.4487373393
2025-07-23 09:00:00+00:00,960047.9419145819
2025-07-23 10:00:00+00:00,959999.7522779292
2025-07-23 11:00:00+00:00,959844.179181733
2025-07-23 12:00:00+00:00,959936.378693524
2025-07-23 13:00:00+00:00,959992.3726059006
2025-07-23 14:00:00+00:00,959937.2682384936
2025-07-23 15:00:00+00:00,959997.7003379666
2025-07-23 16:00:00+00:00,960003.4547609467
2025-07-23 17:00:00+00:00,960003.4547609467
2025-07-23 18:00:00+00:00,959996.0231419045
2025-07-23 19:00:00+00:00,960023.3584833567
2025-07-23 20:00:00+00:00,960014.5279582049
2025-07-23 21:00:00+00:00,959984.687590702
2025-07-23 22:00:00+00:00,959975.126961374
2025-07-23 23:00:00+00:00,959897.32678674
2025-07-24 00:00:00+00:00,959960.45630433
2025-07-24 01:00:00+00:00,959637.0315198939
2025-07-24 02:00:00+00:00,959711.8009314509
2025-07-24 03:00:00+00:00,959688.3135612664
2025-07-24 04:00:00+00:00,959695.4320672491
2025-07-24 05:00:00+00:00,959692.5847818598
2025-07-24 06:00:00+00:00,959875.915787436
2025-07-24 07:00:00+00:00,959975.1273047674
2025-07-24 08:00:00+00:00,960067.082549472
2025-07-24 09:00:00+00:00,960074.1492726846
2025-07-24 10:00:00+00:00,960086.8669445158
2025-07-24 11:00:00+00:00,960024.6619484355
2025-07-24 12:00:00+00:00,960234.2788794758
2025-07-24 13:00:00+00:00,960225.609423785
2025-07-24 14:00:00+00:00,960371.6802671013
2025-07-24 15:00:00+00:00,960371.6802671013
2025-07-24 16:00:00+00:00,960371.6802671013
2025-07-24 17:00:00+00:00,960371.6802671013
2025-07-24 18:00:00+00:00,960371.6802671013
2025-07-24 19:00:00+00:00,960362.2362988519
2025-07-24 20:00:00+00:00,960316.6219320823
2025-07-24 21:00:00+00:00,960244.298404074
2025-07-24 22:00:00+00:00,960277.5550104115
2025-07-24 23:00:00+00:00,960310.8324289916
