event,order_id,symbol,latency_ms,status,timestamp
submit,PAPER-68,EURUSD,33.031,accepted,2025-11-10T14:32:20.058624
submit,PAPER-69,EURUSD,26.321,accepted,2025-11-10T14:32:20.085320
submit,PAPER-70,EURUSD,31.691999999999997,accepted,2025-11-10T14:32:20.117299
submit,PAPER-71,EURUSD,31.698999999999998,accepted,2025-11-10T14:32:20.149357
submit,PAPER-72,EURUSD,28.389,accepted,2025-11-10T14:32:20.178096
submit,PAPER-73,EURUSD,32.811,accepted,2025-11-10T14:32:20.211302
submit,PAPER-74,EURUSD,34.442,accepted,2025-11-10T14:32:20.246015
submit,PAPER-75,EURUSD,35.128,accepted,2025-11-10T14:32:20.281580
submit,PAPER-76,EURUSD,34.54900000000001,accepted,2025-11-10T14:32:20.316532
submit,PAPER-77,EURUSD,27.812,accepted,2025-11-10T14:32:20.344679
submit,PAPER-78,EURUSD,25.639,accepted,2025-11-10T14:32:20.370720
submit,PAPER-79,EURUSD,35.346000000000004,accepted,2025-11-10T14:32:20.406826
submit,PAPER-80,EURUSD,27.238,accepted,2025-11-10T14:32:20.434476
submit,PAPER-81,EURUSD,35.21,accepted,2025-11-10T14:32:20.470097
submit,PAPER-82,EURUSD,34.43,accepted,2025-11-10T14:32:20.504914
submit,PAPER-83,EURUSD,27.393,accepted,2025-11-10T14:32:20.532686
submit,PAPER-84,EURUSD,34.088,accepted,2025-11-10T14:32:20.567223
submit,PAPER-85,EURUSD,34.942,accepted,2025-11-10T14:32:20.602596
submit,PAPER-86,EURUSD,35.589999999999996,accepted,2025-11-10T14:32:20.638669
submit,PAPER-87,EURUSD,30.862000000000002,accepted,2025-11-10T14:32:20.670309
submit,PAPER-88,EURUSD,28.87,accepted,2025-11-10T14:32:20.699704
submit,PAPER-89,EURUSD,32.563,accepted,2025-11-10T14:32:20.732705
submit,PAPER-90,EURUSD,33.546,accepted,2025-11-10T14:32:20.766570
submit,PAPER-91,EURUSD,35.168,accepted,2025-11-10T14:32:20.802122
submit,PAPER-92,EURUSD,35.481,accepted,2025-11-10T14:32:20.837908
submit,PAPER-93,EURUSD,35.297000000000004,accepted,2025-11-10T14:32:20.873535
submit,PAPER-94,EURUSD,35.339000000000006,accepted,2025-11-10T14:32:20.909260
submit,PAPER-95,EURUSD,33.995999999999995,accepted,2025-11-10T14:32:20.943612
submit,PAPER-96,EURUSD,33.175000000000004,accepted,2025-11-10T14:32:20.977169
submit,PAPER-97,EURUSD,30.814,accepted,2025-11-10T14:32:21.008367
submit,PAPER-98,EURUSD,30.213,accepted,2025-11-10T14:32:21.039432
submit,PAPER-99,EURUSD,35.287,accepted,2025-11-10T14:32:21.075204
submit,PAPER-100,EURUSD,31.255,accepted,2025-11-10T14:32:21.106829
submit,PAPER-101,EURUSD,35.372,accepted,2025-11-10T14:32:21.142567
submit,PAPER-102,EURUSD,33.296,accepted,2025-11-10T14:32:21.176319
submit,PAPER-103,EURUSD,29.079,accepted,2025-11-10T14:32:21.205804
submit,PAPER-104,EURUSD,32.83,accepted,2025-11-10T14:32:21.239090
submit,PAPER-105,EURUSD,35.653999999999996,accepted,2025-11-10T14:32:21.275161
submit,PAPER-106,EURUSD,34.532000000000004,accepted,2025-11-10T14:32:21.310274
submit,PAPER-107,EURUSD,35.187999999999995,accepted,2025-11-10T14:32:21.346149
submit,PAPER-108,EURUSD,35.272,accepted,2025-11-10T14:32:21.381707
submit,PAPER-109,EURUSD,30.525,accepted,2025-11-10T14:32:21.412622
submit,PAPER-110,EURUSD,35.31,accepted,2025-11-10T14:32:21.448425
submit,PAPER-111,EURUSD,35.319,accepted,2025-11-10T14:32:21.484128
submit,PAPER-112,EURUSD,34.33,accepted,2025-11-10T14:32:21.518857
submit,PAPER-113,EURUSD,35.28,accepted,2025-11-10T14:32:21.554539
submit,PAPER-114,EURUSD,35.055,accepted,2025-11-10T14:32:21.589985
submit,PAPER-115,EURUSD,29.878999999999998,accepted,2025-11-10T14:32:21.620250
submit,PAPER-116,EURUSD,29.46,accepted,2025-11-10T14:32:21.650098
submit,PAPER-117,EURUSD,28.058,accepted,2025-11-10T14:32:21.678549
submit,PAPER-118,EURUSD,25.52,accepted,2025-11-10T14:32:21.704536
submit,PAPER-119,EURUSD,28.808,accepted,2025-11-10T14:32:21.733690
submit,PAPER-120,EURUSD,32.578,accepted,2025-11-10T14:32:21.766661
submit,PAPER-121,EURUSD,29.057,accepted,2025-11-10T14:32:21.796050
submit,PAPER-122,EURUSD,35.007999999999996,accepted,2025-11-10T14:32:21.831473
submit,PAPER-123,EURUSD,34.249,accepted,2025-11-10T14:32:21.866112
submit,PAPER-124,EURUSD,34.575,accepted,2025-11-10T14:32:21.901065
submit,PAPER-125,EURUSD,32.823,accepted,2025-11-10T14:32:21.934272
submit,PAPER-126,EURUSD,35.379,accepted,2025-11-10T14:32:21.970130
submit,PAPER-127,EURUSD,32.169999999999995,accepted,2025-11-10T14:32:22.002716
submit,PAPER-128,EURUSD,35.46,accepted,2025-11-10T14:32:22.038541
submit,PAPER-129,EURUSD,27.109,accepted,2025-11-10T14:32:22.066230
submit,PAPER-130,EURUSD,35.419,accepted,2025-11-10T14:32:22.102101
submit,PAPER-131,EURUSD,33.607,accepted,2025-11-10T14:32:22.136067
submit,PAPER-132,EURUSD,35.516,accepted,2025-11-10T14:32:22.172224
submit,PAPER-133,EURUSD,31.002,accepted,2025-11-10T14:32:22.203964
submit,PAPER-134,EURUSD,29.034000000000002,accepted,2025-11-10T14:32:22.233686
submit,PAPER-135,EURUSD,33.588,accepted,2025-11-10T14:32:22.267646
submit,PAPER-136,EURUSD,33.339,accepted,2025-11-10T14:32:22.301412
submit,PAPER-137,EURUSD,35.285,accepted,2025-11-10T14:32:22.337115
submit,PAPER-138,EURUSD,35.674,accepted,2025-11-10T14:32:22.373168
submit,PAPER-139,EURUSD,25.866,accepted,2025-11-10T14:32:22.399668
submit,PAPER-140,EURUSD,34.735,accepted,2025-11-10T14:32:22.434941
submit,PAPER-141,EURUSD,26.934,accepted,2025-11-10T14:32:22.462419
submit,PAPER-142,EURUSD,28.877,accepted,2025-11-10T14:32:22.491842
submit,PAPER-143,EURUSD,31.53,accepted,2025-11-10T14:32:22.523978
submit,PAPER-144,EURUSD,35.333999999999996,accepted,2025-11-10T14:32:22.559727
submit,PAPER-145,EURUSD,33.64,accepted,2025-11-10T14:32:22.593766
submit,PAPER-146,EURUSD,26.73,accepted,2025-11-10T14:32:22.620912
submit,PAPER-147,EURUSD,35.345,accepted,2025-11-10T14:32:22.656907
submit,PAPER-148,EURUSD,27.039,accepted,2025-11-10T14:32:22.684427
submit,PAPER-149,EURUSD,34.859,accepted,2025-11-10T14:32:22.719698
submit,PAPER-150,EURUSD,27.42,accepted,2025-11-10T14:32:22.747571
submit,PAPER-151,EURUSD,32.733,accepted,2025-11-10T14:32:22.780799
submit,PAPER-152,EURUSD,35.371,accepted,2025-11-10T14:32:22.816766
submit,PAPER-153,EURUSD,27.344,accepted,2025-11-10T14:32:22.844624
submit,PAPER-154,EURUSD,27.605999999999998,accepted,2025-11-10T14:32:22.872658
submit,PAPER-155,EURUSD,38.934000000000005,accepted,2025-11-10T14:32:22.911922
submit,PAPER-156,EURUSD,35.34,accepted,2025-11-10T14:32:22.947857
submit,PAPER-157,EURUSD,35.288,accepted,2025-11-10T14:32:22.983551
submit,PAPER-158,EURUSD,32.635999999999996,accepted,2025-11-10T14:32:23.016630
submit,PAPER-159,EURUSD,30.783,accepted,2025-11-10T14:32:23.047771
submit,PAPER-160,EURUSD,25.698999999999998,accepted,2025-11-10T14:32:23.073818
submit,PAPER-161,EURUSD,33.295,accepted,2025-11-10T14:32:23.107508
submit,PAPER-162,EURUSD,35.316,accepted,2025-11-10T14:32:23.143108
submit,PAPER-163,EURUSD,27.324,accepted,2025-11-10T14:32:23.170888
submit,PAPER-164,EURUSD,35.306999999999995,accepted,2025-11-10T14:32:23.206599
submit,PAPER-165,EURUSD,31.854,accepted,2025-11-10T14:32:23.238800
submit,PAPER-166,EURUSD,35.353,accepted,2025-11-10T14:32:23.274906
submit,PAPER-167,EURUSD,26.83,accepted,2025-11-10T14:32:23.302094
submit,PAPER-168,EURUSD,35.331,accepted,2025-11-10T14:32:23.337703
submit,PAPER-169,EURUSD,33.595,accepted,2025-11-10T14:32:23.371671
submit,PAPER-170,EURUSD,27.629,accepted,2025-11-10T14:32:23.399574
submit,PAPER-171,EURUSD,35.355,accepted,2025-11-10T14:32:23.435185
submit,PAPER-172,EURUSD,32.330999999999996,accepted,2025-11-10T14:32:23.467953
submit,PAPER-173,EURUSD,35.652,accepted,2025-11-10T14:32:23.504060
submit,PAPER-174,EURUSD,34.696999999999996,accepted,2025-11-10T14:32:23.539227
submit,PAPER-175,EURUSD,31.364000000000004,accepted,2025-11-10T14:32:23.570998
submit,PAPER-176,EURUSD,35.462,accepted,2025-11-10T14:32:23.606890
submit,PAPER-177,EURUSD,28.755,accepted,2025-11-10T14:32:23.636141
submit,PAPER-178,EURUSD,34.062000000000005,accepted,2025-11-10T14:32:23.670673
submit,PAPER-179,EURUSD,27.752,accepted,2025-11-10T14:32:23.698858
submit,PAPER-180,EURUSD,26.946,accepted,2025-11-10T14:32:23.726409
submit,PAPER-181,EURUSD,32.911,accepted,2025-11-10T14:32:23.759741
submit,PAPER-182,EURUSD,35.403999999999996,accepted,2025-11-10T14:32:23.795505
submit,PAPER-183,EURUSD,35.556999999999995,accepted,2025-11-10T14:32:23.831553
submit,PAPER-184,EURUSD,31.91,accepted,2025-11-10T14:32:23.864167
submit,PAPER-185,EURUSD,27.883000000000003,accepted,2025-11-10T14:32:23.892496
submit,PAPER-186,EURUSD,32.628,accepted,2025-11-10T14:32:23.925716
submit,PAPER-187,EURUSD,28.394,accepted,2025-11-10T14:32:23.954868
submit,PAPER-188,EURUSD,27.786,accepted,2025-11-10T14:32:23.983216
submit,PAPER-189,EURUSD,32.660000000000004,accepted,2025-11-10T14:32:24.016473
submit,PAPER-190,EURUSD,29.107999999999997,accepted,2025-11-10T14:32:24.045947
submit,PAPER-191,EURUSD,33.727,accepted,2025-11-10T14:32:24.080107
submit,PAPER-192,EURUSD,25.651,accepted,2025-11-10T14:32:24.106149
submit,PAPER-193,EURUSD,33.616,accepted,2025-11-10T14:32:24.140424
submit,PAPER-194,EURUSD,35.419,accepted,2025-11-10T14:32:24.176254
submit,PAPER-195,EURUSD,35.55500000000001,accepted,2025-11-10T14:32:24.212171
submit,PAPER-196,EURUSD,35.138000000000005,accepted,2025-11-10T14:32:24.247937
submit,PAPER-197,EURUSD,33.402,accepted,2025-11-10T14:32:24.281901
submit,PAPER-198,EURUSD,30.83,accepted,2025-11-10T14:32:24.313197
submit,PAPER-199,EURUSD,29.488,accepted,2025-11-10T14:32:24.343075
submit,PAPER-200,EURUSD,35.358000000000004,accepted,2025-11-10T14:32:24.379015
submit,PAPER-201,EURUSD,26.200000000000003,accepted,2025-11-10T14:32:24.405621
submit,PAPER-202,EURUSD,28.985,accepted,2025-11-10T14:32:24.434962
submit,PAPER-203,EURUSD,32.578,accepted,2025-11-10T14:32:24.468001
