,audusd_h1_xgb_baseline.yaml,eurusd_h1_xgb_baseline.yaml,gbpjpy_h1_xgb_baseline.yaml,gbpusd_h1_xgb_baseline.yaml,usdchf_h1_xgb_baseline.yaml,usdjpy_xgb_backtest.yaml
audusd_h1_xgb_baseline.yaml,1.0,0.21772852387188946,0.007126346520660728,0.18600693648876115,-0.06494131518219792,-0.047084847073264186
eurusd_h1_xgb_baseline.yaml,0.21772852387188946,1.0,0.0017616574948280484,0.15472507647483974,-0.0992632532124356,-0.06124407240123302
gbpjpy_h1_xgb_baseline.yaml,0.007126346520660728,0.0017616574948280484,1.0,0.006174516167437003,-0.010500387780013689,7.178688503955215e-06
gbpusd_h1_xgb_baseline.yaml,0.18600693648876115,0.15472507647483974,0.006174516167437003,1.0,-0.12273684381400045,-0.09433929977024198
usdchf_h1_xgb_baseline.yaml,-0.06494131518219792,-0.0992632532124356,-0.010500387780013689,-0.12273684381400045,1.0,0.12142142061709256
usdjpy_xgb_backtest.yaml,-0.047084847073264186,-0.06124407240123302,7.178688503955215e-06,-0.09433929977024198,0.12142142061709256,1.0
