,gbpusd_h1_xgb_baseline.yaml,eurusd_h1_xgb_baseline.yaml,usdchf_h1_xgb_baseline.yaml,audusd_h1_xgb_baseline.yaml,gbpjpy_h1_xgb_baseline.yaml,usdjpy_xgb_backtest.yaml
gbpusd_h1_xgb_baseline.yaml,1.0,0.1547250764748397,-0.12273684381400045,0.18600693648876118,0.006174516167437004,-0.09433929977024198
eurusd_h1_xgb_baseline.yaml,0.1547250764748397,1.0,-0.0992632532124356,0.21772852387188946,0.0017616574948280484,-0.06124407240123302
usdchf_h1_xgb_baseline.yaml,-0.12273684381400045,-0.0992632532124356,1.0,-0.06494131518219792,-0.010500387780013689,0.12142142061709256
audusd_h1_xgb_baseline.yaml,0.18600693648876118,0.21772852387188946,-0.06494131518219792,1.0,0.007126346520660728,-0.047084847073264186
gbpjpy_h1_xgb_baseline.yaml,0.006174516167437004,0.0017616574948280484,-0.010500387780013689,0.007126346520660728,1.0,7.178688503955215e-06
usdjpy_xgb_backtest.yaml,-0.09433929977024198,-0.06124407240123302,0.12142142061709256,-0.047084847073264186,7.178688503955215e-06,1.0
