,audusd_h1_xgb_baseline.yaml,eurusd_h1_xgb_baseline.yaml,gbpjpy_h1_xgb_baseline.yaml,gbpusd_h1_xgb_baseline.yaml,usdchf_h1_xgb_baseline.yaml
audusd_h1_xgb_baseline.yaml,1.0,0.217728501063559,0.007126346911791727,0.18600693939473928,-0.0649413461555913
eurusd_h1_xgb_baseline.yaml,0.217728501063559,1.0,0.001761657734257001,0.15472507801562133,-0.09926327954741813
gbpjpy_h1_xgb_baseline.yaml,0.007126346911791727,0.001761657734257001,1.0,0.006174516170430722,-0.01050038768848502
gbpusd_h1_xgb_baseline.yaml,0.18600693939473928,0.15472507801562133,0.006174516170430722,1.0,-0.12273684559802087
usdchf_h1_xgb_baseline.yaml,-0.0649413461555913,-0.09926327954741813,-0.01050038768848502,-0.12273684559802087,1.0
