order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-1,2024-11-19 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-2,2024-11-19 13:00:00+00:00,USDJPY,-38.34203867382727,default,25.0
PAPER-3,2024-11-19 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-4,2024-11-19 17:00:00+00:00,USDJPY,79.996029059133,default,25.0
PAPER-5,2024-11-20 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-6,2024-11-20 06:00:00+00:00,USDJPY,-33.15825375051523,default,25.0
PAPER-7,2024-11-20 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-8,2024-11-20 08:00:00+00:00,USDJPY,-21.967712694164533,default,25.0
PAPER-9,2024-11-20 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-10,2024-11-21 00:00:00+00:00,USDJPY,40.00595281674632,default,25.0
PAPER-11,2024-11-21 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-12,2024-11-21 14:00:00+00:00,USDJPY,-28.88173600024869,default,25.0
PAPER-13,2024-11-21 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-14,2024-11-22 06:00:00+00:00,USDJPY,51.11009122073103,default,25.0
PAPER-15,2024-11-22 10:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-16,2024-11-22 14:00:00+00:00,USDJPY,34.7181402826821,default,25.0
PAPER-17,2024-11-24 22:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-18,2024-11-25 01:00:00+00:00,USDJPY,-29.795636642029695,default,25.0
PAPER-19,2024-11-25 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-20,2024-11-25 07:00:00+00:00,USDJPY,48.83687846608785,default,25.0
PAPER-21,2024-11-25 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-22,2024-11-25 15:00:00+00:00,USDJPY,27.70685164190883,default,25.0
PAPER-23,2024-11-25 18:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-24,2024-11-25 23:00:00+00:00,USDJPY,16.951220178908535,default,25.0
PAPER-25,2024-11-26 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-26,2024-11-26 12:00:00+00:00,USDJPY,-32.52963948612755,default,25.0
PAPER-27,2024-11-26 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-28,2024-11-27 01:00:00+00:00,USDJPY,-34.9294619864749,default,25.0
PAPER-29,2024-11-27 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-30,2024-11-27 06:00:00+00:00,USDJPY,-31.464753751649017,default,25.0
PAPER-31,2024-11-27 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-32,2024-11-27 08:00:00+00:00,USDJPY,-26.05690275985673,default,25.0
PAPER-33,2024-11-27 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-34,2024-11-27 09:00:00+00:00,USDJPY,-28.70414323577939,default,25.0
PAPER-35,2024-11-27 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-36,2024-11-27 14:00:00+00:00,USDJPY,-30.237395931127654,default,25.0
PAPER-37,2024-11-27 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-38,2024-11-27 16:00:00+00:00,USDJPY,-35.51538219094088,default,25.0
PAPER-39,2024-11-27 16:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-40,2024-11-29 01:00:00+00:00,USDJPY,-43.11103570325356,default,25.0
PAPER-41,2024-11-29 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-42,2024-11-29 07:00:00+00:00,USDJPY,-24.282027992296698,default,25.0
