ts,equity
2023-02-23 04:00:00+00:00,960000.0
2023-02-23 05:00:00+00:00,960000.0
2023-02-23 06:00:00+00:00,960000.0
2023-02-23 07:00:00+00:00,960000.0
2023-02-23 08:00:00+00:00,960000.0
2023-02-23 09:00:00+00:00,960000.0
2023-02-23 10:00:00+00:00,960000.0
2023-02-23 11:00:00+00:00,960000.0
2023-02-23 12:00:00+00:00,960000.0
2023-02-23 13:00:00+00:00,960000.0
2023-02-23 14:00:00+00:00,960000.0
2023-02-23 15:00:00+00:00,960000.0
2023-02-23 16:00:00+00:00,960000.0
2023-02-23 17:00:00+00:00,960000.0
2023-02-23 18:00:00+00:00,960000.0
2023-02-23 19:00:00+00:00,960000.0
2023-02-23 20:00:00+00:00,960000.0
2023-02-23 21:00:00+00:00,960000.0
2023-02-23 22:00:00+00:00,960000.0
2023-02-23 23:00:00+00:00,960000.0
2023-02-24 00:00:00+00:00,960000.0
2023-02-24 01:00:00+00:00,960000.0
2023-02-24 02:00:00+00:00,960000.0
2023-02-24 03:00:00+00:00,960000.0
2023-02-24 04:00:00+00:00,960000.0
2023-02-24 05:00:00+00:00,960000.0
2023-02-24 06:00:00+00:00,960000.0
2023-02-24 07:00:00+00:00,960000.0
2023-02-24 08:00:00+00:00,960000.0
2023-02-24 09:00:00+00:00,960000.0
2023-02-24 10:00:00+00:00,960000.0
2023-02-24 11:00:00+00:00,960000.0
2023-02-24 12:00:00+00:00,960000.0
2023-02-24 13:00:00+00:00,960000.0
2023-02-24 14:00:00+00:00,960000.0
2023-02-24 15:00:00+00:00,960000.0
2023-02-24 16:00:00+00:00,960000.0
2023-02-24 17:00:00+00:00,960000.0
2023-02-24 18:00:00+00:00,960000.0
2023-02-24 19:00:00+00:00,960000.0
2023-02-24 20:00:00+00:00,960000.0
2023-02-24 21:00:00+00:00,960000.0
2023-02-26 22:00:00+00:00,960000.0
2023-02-26 23:00:00+00:00,960000.0
2023-02-27 00:00:00+00:00,960000.0
2023-02-27 01:00:00+00:00,960000.0
2023-02-27 02:00:00+00:00,960000.0
2023-02-27 03:00:00+00:00,960000.0
2023-02-27 04:00:00+00:00,960000.0
2023-02-27 05:00:00+00:00,960000.0
2023-02-27 06:00:00+00:00,960000.0
2023-02-27 07:00:00+00:00,960000.0
2023-02-27 08:00:00+00:00,960000.0
2023-02-27 09:00:00+00:00,960000.0
2023-02-27 10:00:00+00:00,960000.0
2023-02-27 11:00:00+00:00,960000.0
2023-02-27 12:00:00+00:00,960000.0
2023-02-27 13:00:00+00:00,960000.0
2023-02-27 14:00:00+00:00,960000.0
2023-02-27 15:00:00+00:00,960000.0
2023-02-27 16:00:00+00:00,960000.0
2023-02-27 17:00:00+00:00,960000.0
2023-02-27 18:00:00+00:00,960000.0
2023-02-27 19:00:00+00:00,960000.0
2023-02-27 20:00:00+00:00,960000.0
2023-02-27 21:00:00+00:00,960000.0
2023-02-27 22:00:00+00:00,960000.0
2023-02-27 23:00:00+00:00,960000.0
2023-02-28 00:00:00+00:00,960000.0
2023-02-28 01:00:00+00:00,960000.0
2023-02-28 02:00:00+00:00,960000.0
2023-02-28 03:00:00+00:00,960000.0
2023-02-28 04:00:00+00:00,960000.0
2023-02-28 05:00:00+00:00,960000.0
2023-02-28 06:00:00+00:00,960000.0
