time,open,high,low,close,volume,SMA_20,BB_MID,BB_STD,BB_UPPER,BB_LOWER,MACD,MACD_signal,RSI_14
2024-11-05 11:00:00+00:00,1.0894,1.09019,1.08927,1.08994,4200,,,,,,0.0,0.0,
2024-11-05 12:00:00+00:00,1.08995,1.09014,1.0894,1.08958,4474,,,,,,-2.871794871794897e-05,-5.743589743589794e-06,
2024-11-05 13:00:00+00:00,1.08959,1.08988,1.08896,1.08928,5712,,,,,,-7.482211995024635e-05,-1.9559295784921106e-05,
2024-11-05 14:00:00+00:00,1.08927,1.09112,1.08926,1.09062,8597,,,,,,-3.196361001878145e-06,-1.6286708828312516e-05,
2024-11-05 15:00:00+00:00,1.09066,1.09122,1.08902,1.09021,12864,,,,,,2.0250559667145396e-05,-8.979255129220935e-06,
2024-11-05 16:00:00+00:00,1.0902,1.09207,1.09011,1.09201,6503,,,,,,0.00018197962218935437,2.9212520334494127e-05,
2024-11-05 17:00:00+00:00,1.09201,1.09305,1.09182,1.09302,4471,,,,,,0.0003871863848812218,0.00010080729324383968,
2024-11-05 18:00:00+00:00,1.09302,1.09366,1.09289,1.09304,5360,,,,,,0.0005451439751966713,0.00018967462963440603,
2024-11-05 19:00:00+00:00,1.09304,1.09341,1.0927,1.09312,4672,,,,,,0.0006690692214530447,0.00028555354799813376,
2024-11-05 20:00:00+00:00,1.09314,1.09314,1.09242,1.09252,3902,,,,,,0.0007106736825206461,0.00037057757490263627,
2024-11-05 21:00:00+00:00,1.0925,1.09299,1.09243,1.09297,2116,,,,,,0.0007710683607640156,0.0004506757320749122,
2024-11-05 22:00:00+00:00,1.09292,1.09306,1.09254,1.09256,668,,,,,,0.0007768924720858994,0.0005159190800771096,
2024-11-05 23:00:00+00:00,1.09254,1.09374,1.0912,1.0934,4454,,,,,,0.0008396105938097698,0.0005806573828236418,
2024-11-06 00:00:00+00:00,1.0934,1.0934,1.0832,1.0837,27349,,,,,,0.00010539133768117104,0.00048560417379514765,
2024-11-06 01:00:00+00:00,1.08369,1.08574,1.08213,1.08366,24706,,,,,,-0.0004742435933331457,0.000293634620369489,31.912442396313864
2024-11-06 02:00:00+00:00,1.08364,1.08393,1.07616,1.07626,29866,,,,,,-0.001513282429958851,-6.7748789696179e-05,22.70491803278712
2024-11-06 03:00:00+00:00,1.07626,1.07798,1.0719,1.07468,27499,,,,,,-0.002436138698768797,-0.0005414267715107027,21.57320872274171
2024-11-06 04:00:00+00:00,1.07466,1.07885,1.07395,1.07779,19457,,,,,,-0.002883320804545564,-0.001009805578117675,26.63023679417158
2024-11-06 05:00:00+00:00,1.07777,1.07946,1.075,1.07601,24080,,,,,,-0.0033428131004726858,-0.0014764070825886771,25.36433032616266
