ts,equity
2025-11-10T14:29:27.612615,100000.0
2025-11-10T14:30:33.849060,100000.0
2025-11-10T14:30:33.876726,99965.6
2025-11-10T14:30:33.904735,100038.4
2025-11-10T14:30:33.935314,100003.6
2025-11-10T14:30:33.961166,99940.79999999999
2025-11-10T14:30:33.989629,99788.29999999996
2025-11-10T14:30:34.020338,100097.89999999998
2025-11-10T14:30:34.050850,100312.79999999999
2025-11-10T14:30:34.081456,100145.59999999998
2025-11-10T14:32:17.929240,100000.0
2025-11-10T14:32:17.961307,99940.40000000001
2025-11-10T14:32:17.987925,99940.40000000001
2025-11-10T14:32:18.017307,100033.0
2025-11-10T14:32:18.050885,100033.0
2025-11-10T14:32:18.086632,99990.5642857143
2025-11-10T14:32:18.121225,99990.5642857143
2025-11-10T14:32:18.156780,99944.36428571431
2025-11-10T14:32:18.184196,99944.36428571431
2025-11-10T14:32:18.213194,99890.66428571432
2025-11-10T14:32:18.239713,99890.66428571432
2025-11-10T14:32:18.273462,99989.1785714286
2025-11-10T14:32:18.308984,99989.1785714286
2025-11-10T14:32:18.344399,100049.62142857145
2025-11-10T14:32:18.377534,100049.62142857145
2025-11-10T14:32:18.413016,100005.45000000004
2025-11-10T14:32:18.448560,100005.45000000004
2025-11-10T14:32:18.476448,100084.15000000005
2025-11-10T14:32:18.509744,100084.15000000005
2025-11-10T14:32:18.538350,100194.15000000005
2025-11-10T14:32:18.573723,100194.15000000005
2025-11-10T14:32:18.606842,100131.59285714291
2025-11-10T14:32:18.642427,100131.59285714291
2025-11-10T14:32:18.670226,100059.71428571435
2025-11-10T14:32:18.705333,100059.71428571435
2025-11-10T14:32:18.740972,99963.78571428577
2025-11-10T14:32:18.773958,99963.78571428577
2025-11-10T14:32:18.809559,100073.82857142863
2025-11-10T14:32:18.843117,100073.82857142863
2025-11-10T14:32:18.877837,100007.05000000005
2025-11-10T14:32:18.909900,100007.05000000005
2025-11-10T14:32:18.941008,100146.30714285719
2025-11-10T14:32:18.972806,100146.30714285719
2025-11-10T14:32:19.008503,100074.41428571435
2025-11-10T14:32:19.042088,100074.41428571435
2025-11-10T14:32:19.072873,100003.8214285715
2025-11-10T14:32:19.099918,100003.8214285715
2025-11-10T14:32:19.128557,99941.35000000006
2025-11-10T14:32:19.163565,99941.35000000006
2025-11-10T14:32:19.192376,99870.55000000008
2025-11-10T14:32:19.224933,99870.55000000008
2025-11-10T14:32:19.254113,99949.35000000008
2025-11-10T14:32:19.286148,99949.35000000008
2025-11-10T14:32:19.322074,99908.69285714293
2025-11-10T14:32:19.357577,99908.69285714293
2025-11-10T14:32:19.385860,99993.80714285721
2025-11-10T14:32:19.412662,99993.80714285721
2025-11-10T14:32:19.448510,99966.00000000007
2025-11-10T14:32:19.484855,99966.00000000007
2025-11-10T14:32:19.511924,99931.9214285715
2025-11-10T14:32:19.538389,99931.9214285715
2025-11-10T14:32:19.564394,99892.36428571436
2025-11-10T14:32:19.594696,99892.36428571436
2025-11-10T14:32:19.630071,99841.82857142865
2025-11-10T14:32:19.656959,99841.82857142865
2025-11-10T14:32:19.683196,99793.33571428579
2025-11-10T14:32:19.712849,99793.33571428579
2025-11-10T14:32:19.740677,99748.95714285722
2025-11-10T14:32:19.776346,99748.95714285722
2025-11-10T14:32:19.808482,99862.54285714294
2025-11-10T14:32:19.837519,99862.54285714294
2025-11-10T14:32:19.864429,99807.02857142866
2025-11-10T14:32:19.899449,99807.02857142866
2025-11-10T14:32:19.935062,99761.56428571437
2025-11-10T14:32:19.965076,99761.56428571437
2025-11-10T14:32:19.997731,99840.72142857152
2025-11-10T14:32:20.025191,99840.72142857152
2025-11-10T14:32:20.058624,99788.45000000008
2025-11-10T14:32:20.085320,99788.45000000008
2025-11-10T14:32:20.117299,99726.45000000008
2025-11-10T14:32:20.149357,99726.45000000008
2025-11-10T14:32:20.178096,99686.61428571439
2025-11-10T14:32:20.211302,99686.61428571439
2025-11-10T14:32:20.246015,99667.01428571438
2025-11-10T14:32:20.281580,99667.01428571438
2025-11-10T14:32:20.316532,99614.89285714294
2025-11-10T14:32:20.344679,99614.89285714294
2025-11-10T14:32:20.370720,99561.3357142858
2025-11-10T14:32:20.406826,99561.3357142858
2025-11-10T14:32:20.434476,99654.8357142858
2025-11-10T14:32:20.470097,99654.8357142858
2025-11-10T14:32:20.504914,99609.67857142865
2025-11-10T14:32:20.532686,99609.67857142865
2025-11-10T14:32:20.567223,99559.90714285724
2025-11-10T14:32:20.602596,99559.90714285724
2025-11-10T14:32:20.638669,99524.45714285722
2025-11-10T14:32:20.670309,99524.45714285722
2025-11-10T14:32:20.699704,99496.20000000007
2025-11-10T14:32:20.732705,99496.20000000007
2025-11-10T14:32:20.766570,99462.27142857149
2025-11-10T14:32:20.802122,99462.27142857149
