window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_181814,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181814/summary.json,1.0633653202487012,0.0010493253832055682,0.0009867966946299797,-0.0003009910094917577,0.1860951576368411,3.4862349708631504,960249.4585570766,8,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_000_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_181814,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181814/summary.json,2.5669712988546762,0.0022906094343639882,0.0008923393243181198,-0.00022531831370443232,0.7753771657828105,10.16610410713778,960544.4560177709,8,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_001_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_181815,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181815/summary.json,2.4598293875493167,0.0005993615647246209,0.0002436598114317814,-7.212504732673963e-05,0.2682515311718671,8.31003357279481,960142.5708047329,2,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_002_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_181815,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181815/summary.json,3.7261485646215413,0.0016586857200751037,0.00044514750051131513,-6.367293459378565e-05,0.9123423747974856,26.050090680711115,960394.3923728999,6,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_003_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_181816,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181816/summary.json,2.7549320563547846,0.001372370836325798,0.000498150519959343,-9.401502410888884e-05,0.4379402759727351,14.597356638831565,960326.3392168882,4,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_004_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_181816,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181816/summary.json,5.469847865975885,0.0037587166246639825,0.0006871702315606145,-8.928617886378411e-05,2.050063047719952,42.097407151876425,960893.0182918751,10,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_005_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_181817,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181817/summary.json,0.9859253986507869,0.0004208408625256954,0.0004268485862131203,-0.00028250184897259464,0.20071681685202394,1.4896924181424418,960100.0958976124,6,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_006_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,fail
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_181817,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181817/summary.json,-1.339208191561555,-0.00059541263826135,0.0004446005049947327,-0.00016263570380793422,-0.1400088303204508,-3.661020454429286,959858.2743635565,6,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_007_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,fail
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_181818,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181818/summary.json,1.4084467044042392,0.0011649517617631222,0.0008271180997621679,-0.00034245517546702635,0.3200740888776907,3.401764216804166,960276.9818400049,20,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_008_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,pass
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_181818,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181818/summary.json,-0.03290069480842405,-1.7118189407194784e-05,0.0005202987203422756,-0.00022564250910177204,-0.004697556194537471,-0.075864204290841,959995.8947468074,8,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_009_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,fail
10,6000,1500,2023-04-18T02:00:00+00:00,2024-04-05T09:00:00+00:00,2024-04-05T10:00:00+00:00,2024-07-03T10:00:00+00:00,20251116_181819,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_final_20251116_181814/20251116_181819/summary.json,0.6730219359002396,0.0005369160981083532,0.0007977690911220743,-0.00029757364190821466,0.12453698331474346,1.8043133614433589,960127.6504770276,14,cec357da29e74d205575813e884463dc6bdb7ea5689ef5f7a4b1121a8a89a1d9,results/walkforward_usdjpy_xgb_v2_final_20251116_181814/walkforward/window_010_test.csv,4c7b75f0921ca56d7b4e0d581b3f94445698471dc1704558d1a7308df9271f0d,fail
