time,open,high,low,close,volume
2020-11-19 21:00:00+00:00,75.704,75.717,75.546,75.604,2787
2020-11-19 22:00:00+00:00,75.592,75.593,75.467,75.496,7613
2020-11-19 23:00:00+00:00,75.496,75.572,75.408,75.45,3966
2020-11-20 00:00:00+00:00,75.45,75.663,75.45,75.587,5472
2020-11-20 01:00:00+00:00,75.588,75.702,75.556,75.7,4779
2020-11-20 02:00:00+00:00,75.701,75.702,75.592,75.616,3294
2020-11-20 03:00:00+00:00,75.614,75.698,75.606,75.654,2998
2020-11-20 04:00:00+00:00,75.656,75.735,75.638,75.725,2677
2020-11-20 05:00:00+00:00,75.726,75.802,75.694,75.718,3320
2020-11-20 06:00:00+00:00,75.716,75.747,75.679,75.724,3594
2020-11-20 07:00:00+00:00,75.723,75.786,75.629,75.656,5172
2020-11-20 08:00:00+00:00,75.658,75.732,75.629,75.694,5306
2020-11-20 09:00:00+00:00,75.696,75.78,75.625,75.634,5340
2020-11-20 10:00:00+00:00,75.632,75.785,75.628,75.742,4137
2020-11-20 11:00:00+00:00,75.74,75.921,75.73,75.892,4050
2020-11-20 12:00:00+00:00,75.894,75.936,75.854,75.916,3465
2020-11-20 13:00:00+00:00,75.918,75.93,75.805,75.852,4331
2020-11-20 14:00:00+00:00,75.852,75.977,75.834,75.874,6219
2020-11-20 15:00:00+00:00,75.874,75.922,75.798,75.895,6589
2020-11-20 16:00:00+00:00,75.898,75.956,75.886,75.931,3898
2020-11-20 17:00:00+00:00,75.932,75.95,75.854,75.902,2680
2020-11-20 18:00:00+00:00,75.9,75.92,75.864,75.888,1721
2020-11-20 19:00:00+00:00,75.889,75.925,75.882,75.911,1718
2020-11-20 20:00:00+00:00,75.913,75.922,75.85,75.9,2356
2020-11-20 21:00:00+00:00,75.899,75.902,75.814,75.855,2707
2020-11-22 22:00:00+00:00,75.802,75.858,75.782,75.811,8463
2020-11-22 23:00:00+00:00,75.811,75.944,75.806,75.925,3985
2020-11-23 00:00:00+00:00,75.924,76.004,75.906,75.982,3459
2020-11-23 01:00:00+00:00,75.983,76.012,75.936,75.978,4142
2020-11-23 02:00:00+00:00,75.979,75.988,75.905,75.918,2510
2020-11-23 03:00:00+00:00,75.918,75.944,75.897,75.908,1874
2020-11-23 04:00:00+00:00,75.908,75.913,75.859,75.87,1640
2020-11-23 05:00:00+00:00,75.87,75.901,75.856,75.9,1660
2020-11-23 06:00:00+00:00,75.9,75.917,75.82,75.853,1985
2020-11-23 07:00:00+00:00,75.852,75.97,75.852,75.951,3943
2020-11-23 08:00:00+00:00,75.95,76.086,75.932,76.079,5295
2020-11-23 09:00:00+00:00,76.08,76.138,76.032,76.084,3963
2020-11-23 10:00:00+00:00,76.084,76.102,76.028,76.054,2986
2020-11-23 11:00:00+00:00,76.054,76.074,75.974,76.003,3211
2020-11-23 12:00:00+00:00,76.002,76.082,75.995,76.016,2773
2020-11-23 13:00:00+00:00,76.017,76.06,75.894,75.956,4622
2020-11-23 14:00:00+00:00,75.955,76.022,75.885,75.988,7678
2020-11-23 15:00:00+00:00,75.988,76.075,75.83,76.068,11314
2020-11-23 16:00:00+00:00,76.066,76.108,75.962,76.006,8506
2020-11-23 17:00:00+00:00,76.004,76.037,75.952,76.018,3916
2020-11-23 18:00:00+00:00,76.019,76.074,75.986,76.066,2390
2020-11-23 19:00:00+00:00,76.066,76.188,76.056,76.179,2754
2020-11-23 20:00:00+00:00,76.176,76.22,76.136,76.172,2858
2020-11-23 21:00:00+00:00,76.171,76.218,76.16,76.178,2564
2020-11-23 22:00:00+00:00,76.18,76.192,76.105,76.128,5541
2020-11-23 23:00:00+00:00,76.128,76.334,76.128,76.253,4032
2020-11-24 00:00:00+00:00,76.254,76.394,76.254,76.338,4750
2020-11-24 01:00:00+00:00,76.338,76.496,76.336,76.386,7172
2020-11-24 02:00:00+00:00,76.385,76.484,76.351,76.468,4104
2020-11-24 03:00:00+00:00,76.468,76.545,76.44,76.496,3545
2020-11-24 04:00:00+00:00,76.498,76.511,76.442,76.467,2760
2020-11-24 05:00:00+00:00,76.466,76.48,76.36,76.382,3517
2020-11-24 06:00:00+00:00,76.385,76.494,76.385,76.452,2612
2020-11-24 07:00:00+00:00,76.454,76.55,76.43,76.462,3101
