sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,symbol,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult
-1.3037852412786177,-0.0009787402547268842,0.0007506913130624465,-0.0010727179555906842,322,-0.0008092832553973084,0.4161490683229814,1.097556797038752,-0.4972177829200216,0 days 01:00:00,USDJPY,20,120,1.6,4.5,60,40,36,0.5,0.5
-1.328526599238094,-0.0010755031550327976,0.0008095458198952098,-0.0010579329750671793,340,-0.0008893151865262405,0.4,1.1805988937812346,-0.5177382837725766,0 days 01:00:00,USDJPY,20,120,1.6,4.5,60,40,24,0.5,0.5
-1.3762128662668196,-0.0009996444043475217,0.0007263733895027479,-0.0010263399095836847,322,-0.000826549800413634,0.422360248447205,1.0576655552958758,-0.5079404328471473,0 days 01:00:00,USDJPY,20,120,1.6,3.0,60,40,36,0.5,0.5
-1.4758594198917,-0.0013922355238817907,0.0009433388472622645,-0.0014192191042170727,354,-0.001151264455389156,0.3898305084745763,1.2060755107363428,-0.6438176909901807,0 days 01:00:00,USDJPY,20,120,1.3,4.5,60,40,24,0.5,0.5
-1.6231190031350913,-0.0014862435792833972,0.0009156713564517967,-0.001407213141332986,322,-0.0012289653804220535,0.40993788819875776,0.9705081703024737,-0.75789089903265,0 days 01:00:00,USDJPY,20,120,1.6,,60,40,36,0.5,0.5
-1.8571992900653285,-0.0016834392379750929,0.000906439738040109,-0.0016197552980018487,336,-0.001391996126038464,0.39285714285714285,1.0895322712777253,-0.821887219192836,0 days 01:00:00,USDJPY,20,120,1.3,4.5,60,40,36,0.5,0.5
-1.87603300860813,-0.0018204067224127929,0.0009703489832321194,-0.0017422057138720148,332,-0.0015052910731828684,0.39156626506024095,0.9909569257623413,-0.9013740383451228,0 days 01:00:00,USDJPY,20,120,1.6,,60,40,24,0.5,0.5
-1.955705834237295,-0.001481488343235804,0.0007575210531667555,-0.0013555320004525334,342,-0.001224924694516183,0.40350877192982454,1.0502623197644425,-0.7109550231782097,0 days 01:00:00,USDJPY,20,120,1.6,3.0,60,40,24,0.5,0.5
-2.0033057979661644,-0.002308640032666731,0.0011524151904370038,-0.0022610308313616378,346,-0.0019091463017448795,0.3815028901734104,1.0012764570467514,-1.0968927948356852,0 days 01:00:00,USDJPY,20,120,1.3,,60,40,24,0.5,0.5
-2.009919412483324,-0.0017240862750995678,0.0008577887572961945,-0.0015392253793905452,336,-0.0014255676174664833,0.39880952380952384,1.0450899432462264,-0.8418680147850301,0 days 01:00:00,USDJPY,20,120,1.3,3.0,60,40,36,0.5,0.5
-2.0567448286503067,-0.002258067755581128,0.0010978842509417831,-0.0019871363728289565,372,-0.001867278391785021,0.3763440860215054,1.160710689635717,-0.9953416717971504,0 days 01:00:00,USDJPY,20,120,1.0,4.5,60,40,24,0.5,0.5
-2.068482118025329,-0.002288651803832864,0.0011064402171471123,-0.0019494226763460585,336,-0.001892575531205476,0.3869047619047619,0.9568751197742202,-1.119852514325422,0 days 01:00:00,USDJPY,20,120,1.3,,60,40,36,0.5,0.5
