fast,slow,final_equity,ann_return,ann_vol,sharpe,max_drawdown,trades,atr_sl,atr_tp,atr_window
20,100,98877.14279933345,-0.010906589205676553,0.006658071528472386,-1.6381003356656545,-0.013528740789772092,706,1.5,2.0,14
20,100,99498.46544882724,-0.004859401574886513,0.006575176328540868,-0.7390526629367045,-0.007227713366117791,488,1.5,3.0,14
20,100,100096.73588845377,0.0009612082650605203,0.006298998439600644,0.15259700002742987,-0.00570671952352962,160,1.5,,14
20,100,99125.69748135905,-0.008487511693455296,0.006599111076304006,-1.2861598471848932,-0.0112107520174691,556,2.0,2.0,14
20,100,99617.94088533646,-0.003698006736905901,0.006354839361110042,-0.5819197821957132,-0.006523328336257586,390,2.0,3.0,14
20,100,100064.86621614432,0.0006509535512493336,0.0062795967413995755,0.10366168052763389,-0.005515427589747408,136,2.0,,14
20,150,99004.44151490946,-0.009668189338444155,0.006541280568842637,-1.4780270065918866,-0.013192383348608871,678,1.5,2.0,14
20,150,99177.29040122357,-0.007986299449113221,0.006447740079478465,-1.2386199429055156,-0.009879933787170506,494,1.5,3.0,14
20,150,99684.35553584753,-0.0030526691801492367,0.006188986920907058,-0.49324214433819447,-0.008082748447154309,170,1.5,,14
20,150,99039.85457510977,-0.009323913002261874,0.006473443159453427,-1.4403328758121237,-0.011593863540016989,536,2.0,2.0,14
20,150,99334.26561343815,-0.006458740898975357,0.006392534779581921,-1.0103567867326904,-0.00900626517097871,406,2.0,3.0,14
20,150,99802.25500855948,-0.0019052968897784739,0.006181942686351709,-0.3082035836380247,-0.007249992381707048,136,2.0,,14
20,200,98907.65093804794,-0.010611182125797591,0.006414948968320435,-1.6541335212797204,-0.013787982240015302,672,1.5,2.0,14
20,200,99144.38029302807,-0.008307009299915125,0.006389179983442214,-1.3001683035136016,-0.010377296316902028,472,1.5,3.0,14
20,200,99730.27200721524,-0.0026057484423019917,0.006197140338926746,-0.42047594532178517,-0.008095408595626857,156,1.5,,14
20,200,99133.90018416847,-0.008408757672039746,0.006430445003926395,-1.3076478637023417,-0.01093210562851432,538,2.0,2.0,14
20,200,99218.19895902566,-0.007588528511232595,0.006382242770422709,-1.1890065583841762,-0.010259220120847314,376,2.0,3.0,14
20,200,99611.33335357142,-0.0037633343432039723,0.0061916245318903015,-0.6078104904166447,-0.009152203913909427,140,2.0,,14
30,100,98980.76588075933,-0.009898107429624381,0.006624720818732197,-1.4941169145779378,-0.01387104356523366,668,1.5,2.0,14
30,100,99246.15420847124,-0.007315175917581351,0.006576606326769704,-1.1123025393515409,-0.010713195375136595,494,1.5,3.0,14
30,100,99851.17703454751,-0.0014280503465426975,0.006364054351016517,-0.22439317261874075,-0.007854659013721272,166,1.5,,14
30,100,99326.7941166236,-0.0065305838929078375,0.006529471905158019,-1.0001703028615438,-0.010486226891489897,542,2.0,2.0,14
30,100,99411.4226302553,-0.00570802991949404,0.006350128335558261,-0.898884182785926,-0.009428792778482718,388,2.0,3.0,14
30,100,99852.53306258572,-0.0014150314109444562,0.006336018343483202,-0.22333133116634069,-0.008027384748291616,134,2.0,,14
30,150,99072.61083077623,-0.009005371323651978,0.006425439102498075,-1.401518430102447,-0.012351374403885972,670,1.5,2.0,14
30,150,99149.47875174614,-0.00825752936858215,0.006365914677459522,-1.2971473522603865,-0.009526379812127105,466,1.5,3.0,14
30,150,99621.37367047365,-0.003666167985794222,0.00610164491131955,-0.6008491216840365,-0.0079640383983006,158,1.5,,14
30,150,99120.94682142267,-0.008535402216244048,0.0063421059863392835,-1.3458309013802454,-0.010566914816091257,530,2.0,2.0,14
30,150,99221.59447698835,-0.0075558126639115875,0.006329177425195233,-1.1938064232222905,-0.009882832627927775,366,2.0,3.0,14
30,150,99646.2582233513,-0.003423978768913649,0.0061019552438196815,-0.5611281355073195,-0.008368339159553782,132,2.0,,14
30,200,98750.58606970163,-0.012139662806957885,0.006490147882934253,-1.8704755309010672,-0.015267998687261771,668,1.5,2.0,14
30,200,99091.96240745456,-0.008816862766962807,0.006447703120172018,-1.3674424213761849,-0.011610613972008117,468,1.5,3.0,14
30,200,99573.7641866977,-0.00412866929519029,0.006241518496925011,-0.6614847488194336,-0.00977502899105842,164,1.5,,14
30,200,98908.92967075798,-0.010598163406485006,0.006504316721614874,-1.6294045723919979,-0.013222016978355908,520,2.0,2.0,14
30,200,99234.76274782419,-0.007428074250960259,0.006259616078202623,-1.1866661082979941,-0.011002544760104272,378,2.0,3.0,14
30,200,99525.35074474305,-0.004599904957902301,0.006234450485610726,-0.7378204331751453,-0.010800925024362449,136,2.0,,14
50,100,98870.30783517235,-0.010972051881170453,0.0068191199910826545,-1.6090128778374007,-0.01411263287925724,698,1.5,2.0,14
50,100,99211.95048693255,-0.0076469936915335435,0.0067440043641342805,-1.1338951279749325,-0.01040033198786539,492,1.5,3.0,14
50,100,99761.63689033725,-0.002298410590648836,0.00652664786803299,-0.3521578974570194,-0.007358920717091383,190,1.5,,14
50,100,99100.35830480563,-0.008732673790305956,0.006822582205626537,-1.279966078401251,-0.011991476977634351,534,2.0,2.0,14
50,100,99443.82534945678,-0.005391653339873348,0.006506902727227203,-0.8286051852769746,-0.009166748699132185,396,2.0,3.0,14
50,100,99865.5717230863,-0.0012870545277172685,0.006505629182365434,-0.19783705643814423,-0.007097827852686961,154,2.0,,14
50,150,99157.99641553545,-0.008173916539310877,0.006476525717529389,-1.2620835453779369,-0.012614270490917965,682,1.5,2.0,14
50,150,99467.45297230128,-0.005162306385571247,0.0064103256563030325,-0.8053110968699921,-0.009223935322951146,470,1.5,3.0,14
50,150,99623.21261505618,-0.003647924132562763,0.006158352286126162,-0.592353922457633,-0.00901501226552709,184,1.5,,14
50,150,99366.61467582862,-0.006143519223943628,0.006449252796300575,-0.9525939543675009,-0.009833273076381686,534,2.0,2.0,14
50,150,99712.79492367417,-0.0027749242724061096,0.006343409791115098,-0.43744994628800576,-0.008440242639325466,370,2.0,3.0,14
50,150,99812.52900141019,-0.001805603292712732,0.006134295959815258,-0.29434564366325583,-0.007883475414958777,134,2.0,,14
50,200,99161.98871245868,-0.0081349451784557,0.006493858011569625,-1.2527137433498345,-0.011715295817983985,658,1.5,2.0,14
