sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,symbol,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult,source_file
-0.0004737409687766,-2.680967755686048e-06,0.0056591427222539,-0.0044526381688302,352,-1.9206760857093386e-05,0.3920454545454545,1.5516479285288454,0.0113792608764672,0 days 10:00:00,EURUSD,20,120,2.0,3.0,55,40,12,1.0,0.5,grid_rsi_trailing_diagnostics_EURUSD.csv
-0.0004737409687766,-2.680967755686048e-06,0.0056591427222539,-0.0044526381688302,352,-1.9206760857093386e-05,0.3920454545454545,1.5516479285288454,0.0113792608764672,0 days 10:00:00,EURUSD,20,120,2.0,3.0,55,35,12,1.0,0.5,grid_rsi_trailing_diagnostics_EURUSD.csv
-0.0004737409687766,-2.680967755686048e-06,0.0056591427222539,-0.0044526381688302,352,-1.9206760857093386e-05,0.3920454545454545,1.5516479285288454,0.0113792608764672,0 days 10:00:00,EURUSD,20,120,2.0,3.0,55,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_EURUSD.csv
-0.0004737409687766,-2.680967755686048e-06,0.0056591427222539,-0.0044526381688302,352,-1.9206760857093386e-05,0.3920454545454545,1.5516479285288454,0.0113792608764672,0 days 10:00:00,EURUSD,20,120,2.0,3.0,60,35,12,0.5,0.5,grid_rsi_trailing_diagnostics_EURUSD.csv
-0.0004737409687766,-2.680967755686048e-06,0.0056591427222539,-0.0044526381688302,352,-1.9206760857093386e-05,0.3920454545454545,1.5516479285288454,0.0113792608764672,0 days 10:00:00,EURUSD,20,120,2.0,3.0,55,35,12,0.5,0.5,grid_rsi_trailing_diagnostics_EURUSD.csv
2.1629975035734708,0.0022344898223138,0.0010330524277639,-0.0005944163606513,274,0.0018461276619179,0.4890510948905109,1.4507730468568494,1.3513756153144922,0 days 11:00:00,USDJPY,20,120,2.0,3.0,55,40,12,1.0,0.5,grid_rsi_trailing_diagnostics_USDJPY.csv
2.1629975035734708,0.0022344898223138,0.0010330524277639,-0.0005944163606513,274,0.0018461276619179,0.4890510948905109,1.4507730468568494,1.3513756153144922,0 days 11:00:00,USDJPY,20,120,2.0,3.0,55,35,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY.csv
2.1629975035734708,0.0022344898223138,0.0010330524277639,-0.0005944163606513,274,0.0018461276619179,0.4890510948905109,1.4507730468568494,1.3513756153144922,0 days 11:00:00,USDJPY,20,120,2.0,3.0,55,35,12,1.0,0.5,grid_rsi_trailing_diagnostics_USDJPY.csv
2.1629975035734708,0.0022344898223138,0.0010330524277639,-0.0005944163606513,274,0.0018461276619179,0.4890510948905109,1.4507730468568494,1.3513756153144922,0 days 11:00:00,USDJPY,20,120,2.0,3.0,55,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY.csv
2.1629975035734708,0.0022344898223138,0.0010330524277639,-0.0005944163606513,274,0.0018461276619179,0.4890510948905109,1.4507730468568494,1.3513756153144922,0 days 11:00:00,USDJPY,20,120,2.0,3.0,60,35,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY.csv
2.3922795335924505,0.0032213861511787,0.0013465759774072,-0.0008654020935744,188,0.0026611562248703,0.3617021276595745,2.898935126174469,2.8389997613201357,0 days 07:00:00,USDJPY,20,120,1.0,3.0,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
2.121498941097453,0.0035805079019826,0.0016877255192644,-0.0009283670019688,172,0.0029573858818356,0.2790697674418604,4.372442935370854,3.446677067526853,0 days 07:30:00,USDJPY,20,120,1.0,4.5,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
2.0960246136841163,0.0020772576938614,0.0009910464220218,-0.0005140856012605,182,0.0017162505653027,0.4505494505494505,1.8333819692772468,1.8909852751449203,0 days 08:00:00,USDJPY,20,120,1.6,3.0,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.930198829875804,0.0023451095452422,0.0012149575002038,-0.0007238753621674,162,0.0019373552677668,0.3580246913580246,2.7766678692829503,2.3967451827217428,0 days 11:00:00,USDJPY,20,120,1.6,4.5,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.91437760658968,0.0024136849344051,0.0012608196659304,-0.0006698935998399,198,0.0019939661416301,0.3434343434343434,2.7816217124716434,2.0190113657542645,0 days 12:00:00,USDJPY,20,120,1.6,4.5,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
