sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult
-0.8857165302413342,-0.0031763522218077878,0.003586195033463264,-0.003934558723232209,370,-0.0032705001583342996,0.4918918918918919,0.8819233561318058,-1.7455351569371669,0 days 05:00:00,20,120,1.5,3.0,60,40,12,1.0,0.5
-1.0010441114094868,-0.003562681825138192,0.0035589658682691583,-0.004331375871828479,370,-0.003667358094905815,0.4918918918918919,0.8633608209308633,-1.960052960489285,0 days 05:00:00,20,120,1.5,,60,40,12,1.0,0.5
-1.2929518132918234,-0.004206328106805879,0.003253275229257517,-0.005098038196791677,338,-0.004327636916190869,0.5088757396449705,0.7615706860405538,-2.538426191828893,0 days 05:00:00,20,120,1.5,3.0,60,35,12,1.0,0.5
-1.3039925234304455,-0.005225443618151915,0.004007265014376931,-0.005556534198504513,358,-0.005377547190619225,0.553072625698324,0.6359587700800616,-2.981910564591715,0 days 06:00:00,20,120,2.0,,60,40,12,1.0,0.5
-1.3039925234304455,-0.005225443618151915,0.004007265014376931,-0.005556534198504513,358,-0.005377547190619225,0.553072625698324,0.6359587700800616,-2.981910564591715,0 days 06:00:00,20,120,2.0,3.0,60,40,12,1.0,0.5
-1.3167727329915995,-0.004909897856649081,0.0037287359721477503,-0.00551058186813181,408,-0.00505223509214392,0.4852941176470588,0.8472903795868411,-2.454265166736909,0 days 05:00:00,20,120,1.5,3.0,55,40,12,1.0,0.5
-1.424983599081878,-0.004592669058663734,0.0032229627496223865,-0.005494855345387947,338,-0.004724494852762273,0.5088757396449705,0.7427408937653422,-2.773253373232099,0 days 05:00:00,20,120,1.5,,60,35,12,1.0,0.5
-1.4304084248001552,-0.0052962458596843565,0.003702610924166155,-0.0059073990167280805,408,-0.005449093028715435,0.4852941176470588,0.830381836012998,-2.6488033709385843,0 days 05:00:00,20,120,1.5,,55,40,12,1.0,0.5
-1.5005164768272887,-0.005585429502751316,0.003722338000953658,-0.006383524898017104,330,-0.005746290255571829,0.5696969696969697,0.5687290537279553,-3.46028347974033,0 days 06:00:00,20,120,2.0,,60,35,12,1.0,0.5
-1.5005164768272887,-0.005585429502751316,0.003722338000953658,-0.006383524898017104,330,-0.005746290255571829,0.5696969696969697,0.5687290537279553,-3.46028347974033,0 days 06:00:00,20,120,2.0,3.0,60,35,12,1.0,0.5
-1.6488732048011123,-0.006852070532109122,0.0041556079097880795,-0.007242367883026672,394,-0.007049413517333902,0.5482233502538071,0.6169974205917756,-3.5560630798647432,0 days 07:00:00,20,120,2.0,3.0,55,40,12,1.0,0.5
-1.6488732048011123,-0.006852070532109122,0.0041556079097880795,-0.007242367883026672,394,-0.007049413517333902,0.5482233502538071,0.6169974205917756,-3.5560630798647432,0 days 07:00:00,20,120,2.0,,55,40,12,1.0,0.5
-1.6628868264595624,-0.006057339058415656,0.0036426646492306895,-0.007177273249263508,308,-0.006230849227095603,0.5714285714285714,0.5365855204089851,-4.023707099412508,0 days 06:00:00,20,180,2.0,3.0,60,35,12,1.0,0.5
