sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,symbol,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult,source_file
2.3922795335924505,0.003221386151178729,0.001346575977407298,-0.0008654020935744954,188,0.002661156224870398,0.3617021276595745,2.898935126174469,2.8389997613201357,0 days 07:00:00,USDJPY,20,120,1.0,3.0,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
2.121498941097453,0.0035805079019826103,0.001687725519264417,-0.0009283670019688462,172,0.0029573858818356946,0.27906976744186046,4.372442935370854,3.446677067526853,0 days 07:30:00,USDJPY,20,120,1.0,4.5,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
2.0960246136841163,0.0020772576938614673,0.0009910464220218946,-0.0005140856012605851,182,0.0017162505653027793,0.45054945054945056,1.8333819692772468,1.8909852751449203,0 days 08:00:00,USDJPY,20,120,1.6,3.0,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.9301988298758042,0.002345109545242252,0.0012149575002038235,-0.0007238753621674671,162,0.0019373552677668382,0.35802469135802467,2.7766678692829503,2.3967451827217428,0 days 11:00:00,USDJPY,20,120,1.6,4.5,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.9143776065896798,0.0024136849344051914,0.0012608196659304796,-0.000669893599839952,198,0.0019939661416301657,0.3434343434343434,2.7816217124716434,2.0190113657542645,0 days 12:00:00,USDJPY,20,120,1.6,4.5,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.898062930551829,0.0022579065020507105,0.0011895846368983473,-0.0005034161760701902,292,0.0018653312590670712,0.4246575342465753,1.7955807415253189,1.2824358352844905,0 days 08:00:00,USDJPY,20,120,1.6,3.0,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.776374808002017,0.0019912617589170623,0.001120969375352007,-0.0007633648339752806,186,0.0016450817739750434,0.3870967741935484,2.2517759091769287,1.77503135032835,0 days 08:00:00,USDJPY,20,120,1.3,3.0,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.714347115102513,0.0023350310336074376,0.0013620526514362347,-0.0008482882312575157,172,0.0019288712828973154,0.3023255813953488,3.3944691436438297,2.248960044293233,0 days 08:00:00,USDJPY,20,120,1.3,4.5,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.6396193324814206,0.001680904439255393,0.0010251796901610637,-0.0005020113804993897,220,0.0013887214171763862,0.41818181818181815,1.835934218630595,1.2673787901168538,0 days 08:00:00,USDJPY,20,120,1.6,3.0,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.521167464212042,0.0022428750223002503,0.0014744431991004024,-0.0006507923064251587,208,0.0018525976383094722,0.28846153846153844,3.369888372313279,1.787463666827884,0 days 08:30:00,USDJPY,20,120,1.3,4.5,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
