fast,slow,final_equity,ann_return,ann_vol,sharpe,max_drawdown,trades,atr_sl,atr_tp,atr_window
20,100,100144.2011131854,0.0014249984604297605,0.006593230240108016,0.2161305473243135,-0.004647905997645409,728,1.5,2.0,14
20,100,100228.34384507833,0.0022434331005460884,0.006538496128640385,0.3431114825807181,-0.003972571745258209,520,1.5,3.0,14
20,100,100678.4806239857,0.006623299309578057,0.006521950573740801,1.0155396356797481,-0.0042018361195567434,188,1.5,,14
20,100,99918.29202588562,-0.000773898198705103,0.006520025322146696,-0.11869558176045544,-0.004506176203034275,566,2.0,2.0,14
20,100,100203.39615389991,0.002000657888408197,0.006536882743283181,0.306056872515256,-0.004203368476539533,424,2.0,3.0,14
20,100,100501.66709519998,0.004902754574988677,0.0064981748310844484,0.7544817894920319,-0.004515233740507705,168,2.0,,14
20,150,99821.52527383539,-0.001715280143094966,0.006571608449697618,-0.2610137466686549,-0.006287060447547369,688,1.5,2.0,14
20,150,99989.99609350691,-7.5877895363341e-05,0.006554206913651275,-0.011576975881750164,-0.007076609824144695,492,1.5,3.0,14
20,150,100217.72775042128,0.002140304331835985,0.006565250850535937,0.32600495861651146,-0.00675985979766477,178,1.5,,14
20,150,99652.81301999996,-0.0033573990747172155,0.006544233455882042,-0.5130316785535121,-0.005434863510592206,536,2.0,2.0,14
20,150,99992.51851345717,-5.100214205500109e-05,0.0066042186747976425,-0.007722661009035081,-0.0063059967265675565,408,2.0,3.0,14
20,150,100236.5236213142,0.002323265724344825,0.006574429210121572,0.3533790767368935,-0.006119645503846922,142,2.0,,14
20,200,99585.21175201415,-0.004014753543780447,0.006631898092522748,-0.6053702104239136,-0.007116959586847226,694,1.5,2.0,14
20,200,99793.7791488999,-0.00198492796444516,0.006628914959835606,-0.2994348210034038,-0.006757116628582636,508,1.5,3.0,14
20,200,100362.97374695717,0.0035540582385684694,0.0066259653179228505,0.5363834653578624,-0.005164018030977326,158,1.5,,14
20,200,99604.78973740015,-0.003824403469133486,0.006602416903223887,-0.5792429537834959,-0.005448317968662754,542,2.0,2.0,14
20,200,99794.80456067152,-0.0019744726097924437,0.006700509900541518,-0.294674978337525,-0.0070213246320959865,410,2.0,3.0,14
20,200,100390.54344259998,0.003822432007557275,0.00664190380776961,0.5755024640805314,-0.004548347252277138,124,2.0,,14
30,100,100104.4701929855,0.0010387554191866322,0.006651431702059818,0.15617019999843793,-0.004156819403136187,720,1.5,2.0,14
30,100,100506.90824014986,0.0049545218478506126,0.006615045595268604,0.7489777321254327,-0.003773563126720977,512,1.5,3.0,14
30,100,100836.47454711428,0.00816107907030128,0.006608576787318331,1.2349223339527744,-0.003808821586655787,168,1.5,,14
30,100,99776.73542639999,-0.0021511815368358,0.006570773152274699,-0.32738636488935774,-0.006053355200106572,576,2.0,2.0,14
30,100,100316.49772858576,0.003101462331681626,0.006572290955359266,0.47189973066432633,-0.004093520610782374,424,2.0,3.0,14
30,100,100627.31387777143,0.006125810956582711,0.006575649455287127,0.9315902555689424,-0.004212952253498806,150,2.0,,14
