fast,slow,final_equity,ann_return,ann_vol,sharpe,max_drawdown,trades,atr_sl,atr_tp,atr_window
20,100,100096.73588845377,0.0009612082650605203,0.006298998439600644,0.15259700002742987,-0.00570671952352962,160,1.5,,14
20,100,100064.86621614432,0.0006509535512493336,0.0062795967413995755,0.10366168052763389,-0.005515427589747408,136,2.0,,14
50,200,99968.42426413948,-0.00028766722040562964,0.006263464765349676,-0.04592781011510485,-0.0068156982856851294,140,1.5,,14
50,200,99905.77681807472,-0.0008973862225686302,0.006254508353096517,-0.14347829947726382,-0.0076332502039468415,110,2.0,,14
50,100,99865.5717230863,-0.0012870545277172685,0.006505629182365434,-0.19783705643814423,-0.007097827852686961,154,2.0,,14
30,100,99852.53306258572,-0.0014150314109444562,0.006336018343483202,-0.22333133116634069,-0.008027384748291616,134,2.0,,14
30,100,99851.17703454751,-0.0014280503465426975,0.006364054351016517,-0.22439317261874075,-0.007854659013721272,166,1.5,,14
50,150,99812.52900141019,-0.001805603292712732,0.006134295959815258,-0.29434564366325583,-0.007883475414958777,134,2.0,,14
20,150,99802.25500855948,-0.0019052968897784739,0.006181942686351709,-0.3082035836380247,-0.007249992381707048,136,2.0,,14
50,100,99761.63689033725,-0.002298410590648836,0.00652664786803299,-0.3521578974570194,-0.007358920717091383,190,1.5,,14
