time,open,high,low,close,volume,was_filled,is_price_outlier,is_volume_outlier,segment_id,is_gap_reopen,hour_sin,hour_cos,dow_sin,dow_cos,ret_1,ret_3,ret_6,ret_24,realized_vol_10,sma_diff,atr_norm,atr_percentile,vol_regime,vol_high,vol_low
2020-11-19 07:00:00+00:00,103.872,103.948,103.826,103.834,2794.0,False,False,False,0,False,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.00035621106949956793,0.0005974636703542924,-0.00021183176706196516,-0.0005197905436624684,0.0005045203731273826,-0.00390033611341197,0.000916297716960289,0.1878351314684411,low,False,True
2020-11-19 08:00:00+00:00,103.836,103.967,103.812,103.936,4465.0,False,False,False,0,False,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,0.0009823371920565371,0.0015610846647522436,0.0014742298835070944,-0.00023085802231614938,0.0005908427242835257,-0.0037981305803569945,0.0009490730559464971,0.2129982557012727,low,False,True
2020-11-19 14:00:00+00:00,104.016,104.09,103.976,103.987,4644.0,False,False,False,0,False,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.0002884143938010064,-0.00039412465874577585,0.0004906865763545376,0.0011842409304474444,0.0006805801317468934,-0.0027568349889891684,0.001132009633072273,0.3369403708249887,low,False,True
2020-11-19 15:00:00+00:00,103.986,103.992,103.827,103.894,5776.0,False,False,False,0,False,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.0008943425620508982,-0.0012113055181695032,-0.0015760441292356209,0.002160702228224176,0.0007647305117994334,-0.0026587194640691147,0.0011887115714093398,0.376057884876284,low,False,True
2020-11-19 16:00:00+00:00,103.892,103.927,103.845,103.854,2721.0,False,False,False,0,False,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.00038500779640793237,-0.0015670515396520868,-0.0025643241997290733,0.001282286132991306,0.0007202947768893528,-0.0025961927321045955,0.0011912327470707791,0.3778990890884424,low,False,True
2020-11-19 17:00:00+00:00,103.856,103.871,103.791,103.826,2287.0,False,False,False,0,False,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.0002696092591523147,-0.0015482704568839933,-0.0019417849040643809,-1.9262626651861403e-05,0.0007162610043724749,-0.0025084034827499353,0.0012073771777507136,0.3882033723108728,low,False,True
2020-11-19 18:00:00+00:00,103.827,103.838,103.8,103.81,1533.0,False,False,False,0,False,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.00015410398166149086,-0.0008085163724566025,-0.0020188425302826163,0.00022160771580259642,0.0006262669486813447,-0.0024130623254023367,0.0011889853716267513,0.3762193940177014,low,False,True
2020-11-19 19:00:00+00:00,103.81,103.824,103.747,103.788,2211.0,False,False,False,0,False,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.00021192563336869252,-0.0006355075394304244,-0.0022015632060143897,-0.0003563688899591577,0.0004306718411193315,-0.002315296566076913,0.001184419888894407,0.37292460753278633,low,False,True
2020-11-19 20:00:00+00:00,103.79,103.828,103.763,103.77,1789.0,False,False,False,0,False,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.0001734304543877796,-0.0005393639358156621,-0.002086799311452392,-0.0008088277774568331,0.00031049169386458344,-0.002219090295846505,0.0011302468370985354,0.3357775050067834,low,False,True
2020-11-19 21:00:00+00:00,103.771,103.815,103.734,103.749,2719.0,False,False,False,0,False,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.00020237062734895783,-0.0005876119834313798,-0.0013956532619786577,-0.0007031265049797231,0.0002425548020613263,-0.0021394182112597655,0.001102248145593151,0.318689837844822,low,False,True
2020-11-19 22:00:00+00:00,103.803,103.803,103.74,103.784,777.0,False,False,False,0,False,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.000337352649182332,-3.854010097492644e-05,-0.0006740231478805647,-0.0003948952564410968,0.0003059916871204738,-0.002041499653125646,0.0010385581041944358,0.2736610892176497,low,False,True
2020-11-19 23:00:00+00:00,103.788,103.846,103.76,103.81,1423.0,False,False,False,0,False,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.0002505203114160359,0.0003854678616170837,-0.00015410398166149086,-0.0008373677777029354,0.000337255452929867,-0.0019192515171949668,0.0009777478084962957,0.2333807093481491,low,False,True
2020-11-20 00:00:00+00:00,103.809,103.898,103.771,103.844,3509.0,False,False,False,0,False,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0003275214333877674,0.0009156714763516316,0.0003275214333877674,-7.703270038139642e-05,0.00037344156327988944,-0.0017996947344092816,0.0009251514634589239,0.1944247044382712,low,False,True
2020-11-20 01:00:00+00:00,103.842,103.884,103.82,103.871,2550.0,False,False,False,0,False,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.0002600053927044321,0.0008382795035841717,0.0007997070952325824,0.0001444307502695974,0.0002803106947014011,-0.0016722665614080047,0.0008712730213437891,0.1576975256799535,low,False,True
2020-11-20 02:00:00+00:00,103.869,103.912,103.826,103.832,1824.0,False,False,False,0,False,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.000375465721905055,0.0002119256333685815,0.0005974751855064575,0.0004721389822994748,0.0002789510154567986,-0.0016040334386315074,0.0008619693350797638,0.1514309709929582,low,False,True
2020-11-20 03:00:00+00:00,103.83,103.842,103.8,103.817,1310.0,False,False,False,0,False,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.0001444641343708586,-0.0002600053927044321,0.0006554280041253246,0.0006264939471045672,0.0002692028171224987,-0.001518778234778755,0.0008049878976606022,0.11899993539634343,low,False,True
2020-11-20 04:00:00+00:00,103.816,103.833,103.798,103.813,1912.0,False,False,False,0,False,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-3.852933527259683e-05,-0.0005583849197561275,0.0002794265011947239,0.0003950969432986451,0.0002647070406549357,-0.0014876508722414363,0.0007506629365163613,0.08992828994121067,low,False,True
2020-11-20 05:00:00+00:00,103.812,103.858,103.769,103.785,2070.0,False,False,False,0,False,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,-0.00026971573887668576,-0.00045265428769547533,-0.000240824583373489,0.00010599957600154752,0.0002704864233771323,-0.0015234619646383122,0.000698559522088944,0.06515278764778086,low,False,True
2020-11-20 06:00:00+00:00,103.786,103.828,103.744,103.764,1709.0,False,False,False,0,False,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-0.00020234137881192105,-0.0005105136923625464,-0.0007703863487539264,-0.0010301239036881737,0.00027265795442039855,-0.0015972543464012321,0.0007000776487303677,0.06596033335486788,low,False,True
2020-11-20 07:00:00+00:00,103.763,103.88,103.746,103.871,2742.0,False,False,False,0,False,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.0010311861531937527,0.0005586968876729603,0.0,0.0003563380010400685,0.0004154634296422103,-0.0015913970213052922,0.0007364904545060785,0.08256347309257704,low,False,True
2020-11-20 08:00:00+00:00,103.872,103.888,103.788,103.8,2786.0,False,False,False,0,False,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,-0.0006835401603911828,0.00014452955629429276,-0.00030819015332461674,-0.0013084975369459517,0.00047642360776485083,-0.0016156069364160134,0.0007796586842829783,0.10533626203243103,low,False,True
2020-11-20 09:00:00+00:00,103.801,103.808,103.765,103.8,3080.0,False,False,False,0,False,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.0,0.00034694113565403306,-0.00016374967490873082,-0.0024793864959926637,0.0004692255565591134,-0.0016306599229287293,0.0007562620423892323,0.0929323599715744,low,False,True
2020-11-20 10:00:00+00:00,103.802,103.852,103.786,103.83,2526.0,False,False,False,0,False,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.00028901734104036514,-0.00039472037431043105,0.00016375598431794813,-0.0027948252513901872,0.00046630126897430563,-0.0016256139843976467,0.0007567314703980662,0.09319077459784224,low,False,True
2020-11-20 11:00:00+00:00,103.832,103.85,103.772,103.802,2176.0,False,False,False,0,False,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,-0.0002696715785417414,1.9267822736201978e-05,0.00016380016380024287,-0.0021724920213788135,0.0004618581854534091,-0.0015841457775379196,0.0007548712246117075,0.09212481426448738,low,False,True
2020-11-20 12:00:00+00:00,103.801,103.833,103.773,103.797,1974.0,False,False,False,0,False,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-4.81686287355787e-05,-2.8901734104080923e-05,0.0003180293743494378,-0.002143818496442962,0.00044893505500754704,-0.0015277416495659705,0.0007528431182294166,0.09118806124426643,low,False,True
2020-11-20 13:00:00+00:00,103.796,103.864,103.79,103.799,3071.0,False,False,False,0,False,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1.9268379625625442e-05,-0.0002985649619570152,-0.0006931674865938708,-0.002095811261620617,0.0004474265894767006,-0.0014548550564071649,0.0007445708945723547,0.08673040894114607,low,False,True
2020-11-20 14:00:00+00:00,103.8,103.811,103.703,103.777,3656.0,False,False,False,0,False,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,-0.00021194809198554765,-0.0002408431436774494,-0.00022157996146432435,-0.0020194832046313005,0.00045168355225471297,-0.0013769910481127548,0.0007316512466979546,0.07965630854706376,low,False,True
2020-11-20 15:00:00+00:00,103.778,103.817,103.704,103.805,3825.0,False,False,False,0,False,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.00026980930263942327,7.707351850250177e-05,4.816955684017188e-05,-0.0008566423470075524,0.0004526992939142477,-0.0012878714898128408,0.0007651709592849388,0.09790684152723043,low,False,True
2020-11-20 16:00:00+00:00,103.804,103.859,103.802,103.818,2224.0,False,False,False,0,False,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.00012523481527848546,0.00018304607944186202,-0.00011557353366076217,-0.00034664047605292847,0.00044668612798770606,-0.0012102910863240784,0.0007451226459490912,0.08705342722398088,low,False,True
2020-11-20 17:00:00+00:00,103.816,103.856,103.806,103.836,1818.0,False,False,False,0,False,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.00017338033866964864,0.0005685267448471976,0.0003275466754011358,9.631498853845954e-05,0.0002940719468444564,-0.0011128125120382039,0.0007504966623191475,0.08979908262807675,low,False,True
2020-11-20 18:00:00+00:00,103.838,103.859,103.813,103.824,1100.0,False,False,False,0,False,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.00011556685542590817,0.00018303549925335894,0.00026012312494572143,0.00013486176668919825,0.00019160492009788723,-0.001036971220526943,0.0007581511569028835,0.09415982944634667,low,False,True
2020-11-20 19:00:00+00:00,103.825,103.846,103.81,103.822,987.0,False,False,False,0,False,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-1.92633687778887e-05,3.8528964148909495e-05,0.00022158209616662816,0.00032759085828804047,0.00019195986667186503,-0.0009849790988421994,0.0007217022541327549,0.07432650688028943,low,False,True
2020-11-20 20:00:00+00:00,103.824,103.844,103.812,103.822,1367.0,False,False,False,0,False,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,-0.00013482799799680034,0.00043362209352748593,0.0005011082201022976,0.00016733626196532226,-0.000946210822369155,0.0006859267372453303,0.06004909877899089,low,False,True
