time,open,high,low,close,volume,was_filled,is_price_outlier,is_volume_outlier,segment_id,is_gap_reopen,vol_regime,vol_high,vol_low,trend_regime
2020-11-19 21:00:00+00:00,137.748,137.754,137.586,137.611,811.0,False,False,False,0,True,,False,False,
2020-11-19 22:00:00+00:00,137.677,137.677,137.46,137.556,691.0,False,False,False,0,False,,False,False,
2020-11-19 23:00:00+00:00,137.55,137.634,137.481,137.523,970.0,False,False,False,0,False,,False,False,
2020-11-20 00:00:00+00:00,137.52,137.689,137.493,137.639,1569.0,False,False,False,0,False,,False,False,
2020-11-20 01:00:00+00:00,137.637,137.746,137.612,137.722,1255.0,False,False,False,0,False,,False,False,
2020-11-20 02:00:00+00:00,137.725,137.754,137.63,137.63,906.0,False,False,False,0,False,,False,False,
2020-11-20 03:00:00+00:00,137.632,137.748,137.628,137.699,944.0,False,False,False,0,False,,False,False,
2020-11-20 04:00:00+00:00,137.697,137.844,137.681,137.823,981.0,False,False,False,0,False,,False,False,
2020-11-20 05:00:00+00:00,137.825,137.948,137.792,137.817,1143.0,False,False,False,0,False,,False,False,
2020-11-20 06:00:00+00:00,137.815,137.882,137.786,137.806,1146.0,False,False,False,0,False,,False,False,
2020-11-20 07:00:00+00:00,137.804,137.946,137.638,137.702,2389.0,False,False,False,0,False,,False,False,
2020-11-20 08:00:00+00:00,137.704,137.754,137.609,137.702,2469.0,False,False,False,0,False,,False,False,
2020-11-20 09:00:00+00:00,137.704,137.948,137.634,137.806,3195.0,False,False,False,0,False,,False,False,
2020-11-20 10:00:00+00:00,137.803,137.918,137.692,137.708,2333.0,False,False,False,0,False,,False,False,
2020-11-20 11:00:00+00:00,137.706,137.916,137.673,137.831,2616.0,False,False,False,0,False,,False,False,
2020-11-20 12:00:00+00:00,137.828,137.87,137.754,137.789,1939.0,False,False,False,0,False,,False,False,
2020-11-20 13:00:00+00:00,137.791,137.836,137.688,137.74,2012.0,False,False,False,0,False,,False,False,
2020-11-20 14:00:00+00:00,137.742,137.884,137.739,137.834,2193.0,False,False,False,0,False,,False,False,
2020-11-20 15:00:00+00:00,137.832,137.942,137.75,137.92,2652.0,False,False,False,0,False,,False,False,
2020-11-20 16:00:00+00:00,137.918,138.06,137.874,138.008,1879.0,False,False,False,0,False,,False,False,
2020-11-20 17:00:00+00:00,138.006,138.012,137.861,137.87,1236.0,False,False,False,0,False,,False,False,
