time,open,high,low,close,volume,was_filled,is_price_outlier,is_volume_outlier,segment_id,is_gap_reopen,vol_regime,vol_high,vol_low,trend_regime
2020-11-19 21:00:00+00:00,123.272,123.286,123.176,123.238,305.0,False,False,False,0,True,,False,False,
2020-11-19 22:00:00+00:00,123.219,123.233,123.176,123.198,224.0,False,False,False,0,False,,False,False,
2020-11-19 23:00:00+00:00,123.192,123.262,123.168,123.18,310.0,False,False,False,0,False,,False,False,
2020-11-20 00:00:00+00:00,123.176,123.355,123.174,123.314,612.0,False,False,False,0,False,,False,False,
2020-11-20 01:00:00+00:00,123.312,123.387,123.286,123.365,497.0,False,False,False,0,False,,False,False,
2020-11-20 02:00:00+00:00,123.369,123.369,123.276,123.283,324.0,False,False,False,0,False,,False,False,
2020-11-20 03:00:00+00:00,123.28,123.318,123.272,123.29,218.0,False,False,False,0,False,,False,False,
2020-11-20 04:00:00+00:00,123.287,123.412,123.274,123.378,367.0,False,False,False,0,False,,False,False,
2020-11-20 05:00:00+00:00,123.382,123.482,123.326,123.342,491.0,False,False,False,0,False,,False,False,
2020-11-20 06:00:00+00:00,123.338,123.384,123.314,123.314,411.0,False,False,False,0,False,,False,False,
2020-11-20 07:00:00+00:00,123.312,123.352,123.247,123.296,629.0,False,False,False,0,False,,False,False,
2020-11-20 08:00:00+00:00,123.292,123.339,123.215,123.25,744.0,False,False,False,0,False,,False,False,
2020-11-20 09:00:00+00:00,123.247,123.247,123.064,123.102,933.0,False,False,False,0,False,,False,False,
2020-11-20 10:00:00+00:00,123.099,123.13,123.062,123.09,716.0,False,False,False,0,False,,False,False,
2020-11-20 11:00:00+00:00,123.087,123.276,123.074,123.256,572.0,False,False,False,0,False,,False,False,
2020-11-20 12:00:00+00:00,123.252,123.272,123.187,123.227,490.0,False,False,False,0,False,,False,False,
2020-11-20 13:00:00+00:00,123.23,123.247,123.142,123.188,599.0,False,False,False,0,False,,False,False,
2020-11-20 14:00:00+00:00,123.191,123.246,123.131,123.178,744.0,False,False,False,0,False,,False,False,
2020-11-20 15:00:00+00:00,123.176,123.185,123.011,123.058,762.0,False,False,False,0,False,,False,False,
2020-11-20 16:00:00+00:00,123.055,123.174,123.055,123.094,485.0,False,False,False,0,False,,False,False,
2020-11-20 17:00:00+00:00,123.097,123.108,123.058,123.094,285.0,False,False,False,0,False,,False,False,
2020-11-20 18:00:00+00:00,123.09,123.125,123.052,123.114,221.0,False,False,False,0,False,,False,False,
2020-11-20 19:00:00+00:00,123.11,123.131,123.093,123.12,199.0,False,False,False,0,False,,False,False,
2020-11-20 20:00:00+00:00,123.124,123.149,123.109,123.116,216.0,False,False,False,0,False,,False,False,
2020-11-20 21:00:00+00:00,123.118,123.203,123.104,123.136,317.0,False,False,False,0,False,,False,False,
2020-11-22 22:00:00+00:00,123.102,123.114,123.07,123.108,58.0,False,False,False,1,True,,False,False,
2020-11-22 23:00:00+00:00,123.114,123.188,123.103,123.187,253.0,False,False,False,1,False,,False,False,
2020-11-23 00:00:00+00:00,123.184,123.248,123.184,123.226,216.0,False,False,False,1,False,,False,False,
2020-11-23 01:00:00+00:00,123.23,123.234,123.178,123.225,321.0,False,False,False,1,False,,False,False,
2020-11-23 02:00:00+00:00,123.222,123.222,123.175,123.188,120.0,False,False,False,1,False,,False,False,
2020-11-23 03:00:00+00:00,123.185,123.199,123.176,123.186,89.0,False,False,False,1,False,,False,False,
2020-11-23 04:00:00+00:00,123.188,123.19,123.164,123.182,67.0,False,False,False,1,False,,False,False,
2020-11-23 05:00:00+00:00,123.179,123.22,123.172,123.22,87.0,False,False,False,1,False,,False,False,
2020-11-23 06:00:00+00:00,123.223,123.236,123.189,123.224,182.0,False,False,False,1,False,,False,False,
2020-11-23 07:00:00+00:00,123.227,123.336,123.191,123.204,559.0,False,False,False,1,False,,False,False,
2020-11-23 08:00:00+00:00,123.201,123.266,123.11,123.258,939.0,False,False,False,1,False,,False,False,
2020-11-23 09:00:00+00:00,123.262,123.33,123.196,123.283,779.0,False,False,False,1,False,,False,False,
2020-11-23 10:00:00+00:00,123.286,123.371,123.186,123.355,608.0,False,False,False,1,False,,False,False,
2020-11-23 11:00:00+00:00,123.352,123.476,123.316,123.458,660.0,False,False,False,1,False,,False,False,
2020-11-23 12:00:00+00:00,123.461,123.497,123.414,123.451,466.0,False,False,False,1,False,,False,False,
2020-11-23 13:00:00+00:00,123.454,123.482,123.352,123.422,712.0,False,False,False,1,False,,False,False,
2020-11-23 14:00:00+00:00,123.42,123.559,123.372,123.486,1334.0,False,False,False,1,False,,False,False,
2020-11-23 15:00:00+00:00,123.49,123.504,123.216,123.463,2333.0,False,False,False,1,False,,False,False,
2020-11-23 16:00:00+00:00,123.46,123.583,123.44,123.482,1708.0,False,False,False,1,False,,False,False,
2020-11-23 17:00:00+00:00,123.486,123.566,123.421,123.55,637.0,False,False,False,1,False,,False,False,
2020-11-23 18:00:00+00:00,123.554,123.686,123.529,123.672,437.0,False,False,False,1,False,,False,False,
2020-11-23 19:00:00+00:00,123.669,123.775,123.657,123.74,497.0,False,False,False,1,False,,False,False,
2020-11-23 20:00:00+00:00,123.736,123.79,123.706,123.786,417.0,False,False,False,1,False,,False,False,
2020-11-23 21:00:00+00:00,123.79,123.826,123.755,123.755,266.0,False,False,False,1,False,,False,False,
2020-11-23 22:00:00+00:00,123.771,123.781,123.694,123.712,62.0,False,False,False,1,False,,False,False,
2020-11-23 23:00:00+00:00,123.718,123.805,123.714,123.79,574.0,False,False,False,1,False,,False,False,
2020-11-24 00:00:00+00:00,123.794,123.896,123.786,123.842,740.0,False,False,False,1,False,,False,False,
