time,open,high,low,close,volume,was_filled,is_price_outlier,is_volume_outlier,segment_id,is_gap_reopen,vol_regime,vol_high,vol_low,trend_regime
2020-11-19 21:00:00+00:00,1.18789,1.18826,1.18729,1.1874,1349.0,False,False,False,0,True,,False,False,
2020-11-19 22:00:00+00:00,1.1874,1.18763,1.18686,1.18707,108.0,False,False,False,0,False,,False,False,
2020-11-19 23:00:00+00:00,1.18711,1.18722,1.18652,1.18655,1013.0,False,False,False,0,False,,False,False,
2020-11-20 00:00:00+00:00,1.18656,1.1875,1.18656,1.18748,1517.0,False,False,False,0,False,,False,False,
2020-11-20 01:00:00+00:00,1.1875,1.18782,1.1874,1.18767,1807.0,False,False,False,0,False,,False,False,
2020-11-20 02:00:00+00:00,1.18768,1.18768,1.18706,1.18731,1250.0,False,False,False,0,False,,False,False,
2020-11-20 03:00:00+00:00,1.18732,1.18789,1.18726,1.18757,1194.0,False,False,False,0,False,,False,False,
2020-11-20 04:00:00+00:00,1.18758,1.18862,1.18747,1.18847,1235.0,False,False,False,0,False,,False,False,
2020-11-20 05:00:00+00:00,1.18848,1.18908,1.18812,1.18843,2029.0,False,False,False,0,False,,False,False,
2020-11-20 06:00:00+00:00,1.18841,1.1889,1.18808,1.18837,2314.0,False,False,False,0,False,,False,False,
2020-11-20 07:00:00+00:00,1.18836,1.18862,1.18662,1.18698,4625.0,False,False,False,0,False,,False,False,
2020-11-20 08:00:00+00:00,1.18697,1.18742,1.18658,1.18732,5186.0,False,False,False,0,False,,False,False,
2020-11-20 09:00:00+00:00,1.1873,1.18732,1.18562,1.18592,6302.0,False,False,False,0,False,,False,False,
2020-11-20 10:00:00+00:00,1.1859,1.186,1.18513,1.18545,5060.0,False,False,False,0,False,,False,False,
2020-11-20 11:00:00+00:00,1.18543,1.18751,1.18526,1.1874,4627.0,False,False,False,0,False,,False,False,
2020-11-20 12:00:00+00:00,1.1874,1.18783,1.18678,1.18718,3809.0,False,False,False,0,False,,False,False,
2020-11-20 13:00:00+00:00,1.1872,1.1872,1.18566,1.18678,4513.0,False,False,False,0,False,,False,False,
2020-11-20 14:00:00+00:00,1.18678,1.18759,1.18669,1.18692,4825.0,False,False,False,0,False,,False,False,
2020-11-20 15:00:00+00:00,1.18691,1.18738,1.18502,1.18544,5277.0,False,False,False,0,False,,False,False,
2020-11-20 16:00:00+00:00,1.18544,1.18632,1.18532,1.18565,3587.0,False,False,False,0,False,,False,False,
2020-11-20 17:00:00+00:00,1.18564,1.18579,1.18506,1.18542,2539.0,False,False,False,0,False,,False,False,
